latency,time,GPU1,GPU2,GPU3,GPU4,latency_sub,time_sub,fps,time_rel,,,,
16.7949,8343.7344,13.7207,12.4951,12.9815,14.332,17.4805,18376.375,57.20660164,947.0879,,,,
16.6445,8360.3789,13.3379,12.5517,12.9414,14.0176,16.8027,18393.1777,59.51424473,963.8906,,,,
16.457,8376.8359,13.9903,12.5381,13.0019,14.0449,17.1016,18410.2793,58.47406091,980.9922,,,,
17.0547,8393.8906,13.4004,12.5215,12.8623,14.0196,18.1309,18428.4102,55.15446007,999.1231,,,,
16.8809,8410.7715,13.6045,12.544,12.914,14.1494,16.6015,18445.0117,60.23552089,1015.7246,,,,
16.2939,8427.0654,13.4522,13.6836,12.9551,13.9883,17.5059,18462.5176,57.12359833,1033.2305,,,,
16.6856,8443.751,13.8008,12.8135,13.0078,14.0127,16.5664,18479.084,60.36314468,1049.7969,,,,
16.8711,8460.6221,13.7773,12.4795,12.9766,14.0137,17.0371,18496.1211,58.69543526,1066.834,,,,
16.7353,8477.3574,13.7236,12.4815,13.0234,14.1299,16.9824,18513.1035,58.88449218,1083.8164,,,,
17.7705,8495.1279,13.8028,12.4492,13.2451,13.9775,17.8906,18530.9941,55.89527461,1101.707,,,,
16.376,8511.5039,13.3994,12.4804,12.8564,13.9004,16.6055,18547.5996,60.22101111,1118.3125,,,,
16.6758,8528.1797,13.3603,12.4522,12.9824,14.1377,16.7246,18564.3242,59.79216244,1135.0371,,,,
16.6592,8544.8389,13.9013,12.4609,13.0528,14.1192,17.8379,18582.1621,56.0604107,1152.875,,,,
16.6064,8561.4453,13.3183,12.5147,13.0478,14.0176,16.7324,18598.8945,59.76428964,1169.6074,,,,
16.6211,8578.0664,13.5927,12.5372,12.9375,14.2217,16.9317,18615.8262,59.06081492,1186.5391,,,,
17.1641,8595.2305,13.3858,12.5107,12.833,13.9082,17.6582,18633.4844,56.63091368,1204.1973,,,,
16.4453,8611.6758,14.042,12.5429,12.9131,14.0459,16.4336,18649.918,60.85093954,1220.6309,,,,
16.6113,8628.2871,13.8086,12.5606,12.9356,14.0195,17.1093,18667.0273,58.44774479,1237.7402,,,,
16.5801,8644.8672,13.4366,12.5019,12.8203,14.126,16.9766,18684.0039,58.90460987,1254.7168,,,,
16.9092,8661.7764,13.6953,12.5195,12.9658,14.3633,16.4785,18700.4824,60.68513518,1271.1953,,,,
16.5947,8678.3711,13.499,12.46,12.916,14.164,16.8906,18717.373,59.20452796,1288.0859,,,,
17.1221,8695.4932,13.8896,12.4717,13.0205,13.9844,17.375,18734.748,57.55395683,1305.4609,,,,
16.581,8712.0742,13.2158,12.4248,13.0019,14.0752,16.4493,18751.1973,60.79286049,1321.9102,,,,
16.5528,8728.627,13.6944,12.499,12.9317,14.0586,16.5429,18767.7402,60.44889348,1338.4531,,,,
16.4921,8745.1191,14.1836,12.4834,12.9199,13.9267,16.7149,18784.4551,59.82686106,1355.168,,,,
16.8116,8761.9307,13.6914,12.4531,12.9737,14.2256,16.8242,18801.2793,59.43819023,1371.9922,,,,
16.7285,8778.6592,13.7207,12.4717,12.9463,14.1143,16.7012,18817.9805,59.87593706,1388.6934,,,,
18.4385,8797.0977,13.3935,12.4863,13.0889,14.0224,17.1797,18835.1602,58.20823414,1405.8731,,,,
16.7949,8813.8926,14.0254,12.4922,12.9746,14.0253,16.5976,18851.7578,60.24967465,1422.4707,,,,
16.7558,8830.6484,13.7588,12.5576,12.7871,14.0606,16.4785,18868.2363,60.68513518,1438.9492,,,,
16.7325,8847.3809,13.8086,12.5361,13.2402,14.0117,16.7364,18884.9727,59.75000598,1455.6856,,,,
17.3066,8864.6875,14.0146,12.4629,12.8066,14.1016,16.4335,18901.4062,60.85130982,1472.1191,,,,
16.6631,8881.3506,13.915,12.5576,12.9795,13.8985,16.6719,18918.0781,59.98116591,1488.791,,,,
17.5488,8898.8994,13.876,12.5058,12.8526,14.0859,17.3516,18935.4297,57.63157288,1506.1426,,,,
16.7197,8915.6191,13.8916,12.5625,12.9355,14.1679,16.4297,18951.8594,60.86538403,1522.5723,,,,
16.7149,8932.334,13.3438,12.4883,12.9453,14.0674,16.5097,18968.3691,60.57045252,1539.082,,,,
16.9228,8949.2568,13.9571,12.5323,13.0987,14.1152,16.3184,18984.6875,61.2805177,1555.4004,,,,
16.5371,8965.7939,13.2451,12.4502,12.9697,14.0059,16.2422,19000.9297,61.56801419,1571.6426,,,,
16.7286,8982.5225,13.7793,12.4893,12.8984,14.2646,16.4863,19017.416,60.65642382,1588.1289,,,,
17.08,8999.6025,13.8184,12.4463,12.9092,13.917,17.2402,19034.6562,58.00396747,1605.3691,,,,
16.2413,9015.8438,13.915,12.5585,12.8857,13.9658,16.459,19051.1152,60.75703263,1621.8281,,,,
16.3925,9032.2363,13.6241,12.5078,12.7216,13.8975,16.4649,19067.5801,60.73526107,1638.293,,,,
16.333,9048.5693,14.1651,12.4941,13.2402,13.8603,16.332,19083.9121,61.22948812,1654.625,,,,
17.5166,9066.0859,13.9824,12.5879,13.0537,13.9521,16.5156,19100.4277,60.54881445,1671.1406,,,,
17.1006,9083.1865,13.5224,12.5341,12.8799,14.0605,17.7149,19118.1426,56.44965537,1688.8555,,,,
18.2403,9101.4268,13.7813,12.5547,12.8174,14.0215,17.3262,19135.4688,57.71606007,1706.1817,,,,
16.7441,9118.1709,13.4434,12.5478,12.9082,14.4004,16.4492,19151.918,60.79323007,1722.6309,,,,
16.4941,9134.665,13.4287,12.5322,12.8311,14.0215,17.4804,19169.3984,57.2069289,1740.1113,,,,
17.3282,9151.9932,13.4551,12.4971,13.0674,14.0664,16.6582,19186.0566,60.03049549,1756.7695,,,,
16.8154,9168.8086,13.9356,12.5742,13.0782,13.9795,16.9395,19202.9961,59.03361965,1773.709,,,,
16.6943,9185.5029,14.2197,12.4746,12.9902,13.9756,17.0059,19220.002,58.80312127,1790.7149,,,,
17.3233,9202.8262,13.4804,12.4697,13.0576,14.0087,17.3691,19237.3711,57.57350698,1808.084,,,,
16.4023,9219.2285,14.3057,12.5372,12.8818,13.9395,16.498,19253.8691,60.61340769,1824.582,,,,
16.8643,9236.0928,13.3164,12.4463,12.8477,14.0068,17.002,19270.8711,58.81660981,1841.584,,,,
16.5146,9252.6074,14.0419,12.5,12.8564,14.0235,17.1641,19288.0352,58.26113807,1858.7481,,,,
16.6133,9269.2207,13.375,12.5078,13.1074,13.8535,17.2832,19305.3184,57.85965562,1876.0313,,,,
16.8731,9286.0938,13.2744,12.5478,13.0801,14.1699,17.1171,19322.4355,58.42111105,1893.1484,,,,
17.6816,9303.7754,14.0839,12.4873,12.8154,14.2305,18.1348,19340.5703,55.14259876,1911.2832,,,,
16.9892,9320.7646,13.6573,12.4648,13.0586,13.9219,16.8652,19357.4355,59.29369352,1928.1484,,,,
16.5518,9337.3164,13.5566,12.4571,12.9023,14.0566,17.0137,19374.4492,58.77616274,1945.1621,,,,
16.4473,9353.7637,13.4345,12.5566,12.8613,13.9971,17.3106,19391.7598,57.76807274,1962.4727,,,,
16.3388,9370.1025,14.0137,12.4658,13.0137,13.8955,17.0312,19408.791,58.71576871,1979.5039,,,,
16.5284,9386.6309,13.8565,12.5234,13.0586,14.1601,16.9024,19425.6934,59.16319576,1996.4063,,,,
17.1562,9403.7871,13.6426,12.5147,12.8935,13.8964,17.8398,19443.5332,56.05444007,2014.2461,,,,
16.2832,9420.0703,13.4785,12.4912,12.8378,13.8897,16.582,19460.1152,60.30635629,2030.8281,,,,
16.5469,9436.6172,14.0332,12.5088,12.9053,14.0108,17.166,19477.2812,58.2546895,2047.9941,,,,
16.4033,9453.0205,13.9736,12.5684,13.0547,13.8955,16.6036,19493.8848,60.22790238,2064.5977,,,,
16.376,9469.3965,13.9648,12.5039,13.1856,13.9775,16.5957,19510.4805,60.25657249,2081.1934,,,,
16.5674,9485.9639,13.7442,12.4453,12.8115,14.0234,16.6386,19527.1191,60.10121044,2097.832,,,,
17.1513,9503.1152,13.4629,12.4824,12.9375,14.0752,17.4356,19544.5547,57.35391957,2115.2676,,,,
16.4522,9519.5674,13.5722,12.4981,12.957,14.1181,16.3008,19560.8555,61.34668237,2131.5684,,,,
16.4043,9535.9717,14.2217,12.4199,12.8418,13.8457,16.4043,19577.2598,60.95962644,2147.9727,,,,
16.2861,9552.2578,14.169,12.5517,12.8789,13.9785,16.3906,19593.6504,61.01057923,2164.3633,,,,
16.4287,9568.6865,14.0596,12.5489,12.7676,13.9658,16.459,19610.1094,60.75703263,2180.8223,,,,
16.7051,9585.3916,13.6484,12.5205,12.8564,14.0694,16.5156,19626.625,60.54881445,2197.3379,,,,
18.1426,9603.5342,14.0351,12.5029,12.9317,14.0967,17.3926,19644.0176,57.49571657,2214.7305,,,,
16.5146,9620.0488,14.2119,12.4903,12.9765,14.0839,16.416,19660.4336,60.91617934,2231.1465,,,,
16.5401,9636.5889,14.1367,12.4824,12.9873,13.9541,16.3223,19676.7559,61.26587552,2247.4688,,,,
16.6816,9653.2705,13.458,12.5303,12.795,13.875,16.4472,19693.2031,60.8006226,2263.916,,,,
17.1201,9670.3906,14.2695,12.459,12.9688,14.1885,16.4727,19709.6758,60.70650227,2280.3887,,,,
16.8799,9687.2705,13.3955,12.5401,13.1572,14.0645,16.6406,19726.3164,60.093987,2297.0293,,,,
17.4902,9704.7607,13.4815,12.46,12.9619,13.8291,17.1582,19743.4746,58.28117168,2314.1875,,,,
16.5645,9721.3252,13.7198,12.4765,13.1143,14.0752,16.084,19759.5586,62.17358866,2330.2715,,,,
16.6436,9737.9688,13.3672,12.5391,12.8662,13.9766,16.5508,19776.1094,60.42004012,2346.8223,,,,
17.4189,9755.3877,13.4014,12.5245,13.082,14.0732,16.541,19792.6504,60.45583701,2363.3633,,,,
16.9941,9772.3818,13.5479,12.4395,13.1152,14.1836,16.7012,19809.3516,59.87593706,2380.0645,,,,
17.0401,9789.4219,13.3301,13.1406,12.832,14.1464,16.4961,19825.8477,60.62038906,2396.5606,,,,
18.1142,9807.5361,13.4727,12.5478,12.8164,14.1465,17.2714,19843.1191,57.89918594,2413.832,,,,
16.4659,9824.002,13.834,12.4942,12.8565,14.0107,16.6172,19859.7363,60.17861011,2430.4492,,,,
