latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel,,,,
28.8907,7215.0513,25.9815,26.7237,28.8047,34.71655667,16691.8262,1969.4805,,,,
29.8593,7244.9106,26.3194,26.6309,29.0429,34.43182327,16720.8691,1998.5234,,,,
28.8628,7273.7734,26.0405,26.81,30.0528,33.27476974,16750.9219,2028.5762,,,,
29.0943,7302.8677,25.874,26.706,29.0293,34.44795431,16779.9512,2057.6055,,,,
29.7217,7332.5894,26.0855,26.6167,29.0625,34.40860215,16809.0137,2086.668,,,,
28.583,7361.1724,26.1602,26.5777,29.6777,33.69533353,16838.6914,2116.3457,,,,
28.9087,7390.0811,26.0336,26.7739,28.7559,34.77547216,16867.4473,2145.1016,,,,
29.8652,7419.9463,26.2319,26.7881,29.1933,34.25443509,16896.6406,2174.2949,,,,
29.0732,7449.0195,26.2925,27.061,29.7461,33.61785242,16926.3867,2204.041,,,,
29.1367,7478.1562,26.251,26.7861,29.3692,34.04927611,16955.7559,2233.4102,,,,
29.3111,7507.4673,26,26.5093,29.2617,34.17436444,16985.0176,2262.6719,,,,
29.0596,7536.5269,26.0933,26.9956,30.0644,33.26193105,17015.082,2292.7363,,,,
28.6694,7565.1963,26.1514,26.5801,28.8535,34.65784047,17043.9355,2321.5898,,,,
29.7183,7594.9146,26.2578,26.936,28.8125,34.70715835,17072.748,2350.4023,,,,
28.7734,7623.688,26.2783,26.747,30.0958,33.22722772,17102.8438,2380.4981,,,,
29.1006,7652.7886,26.1821,26.7954,29.3222,34.10385305,17132.166,2409.8203,,,,
30.5942,7683.3828,25.7851,26.5986,29.459,33.94548355,17161.625,2439.2793,,,,
28.7656,7712.1484,26.5816,26.6792,29.5547,33.83556592,17191.1797,2468.834,,,,
28.7593,7740.9077,26.2969,26.6821,28.7265,34.81106296,17219.9062,2497.5605,,,,
29.2305,7770.1382,25.9277,26.4585,28.6465,34.9082785,17248.5527,2526.207,,,,
28.7788,7798.917,26.1401,26.663,29.8223,33.53195428,17278.375,2556.0293,,,,
28.9414,7827.8584,26.3613,26.6431,29.4629,33.94099019,17307.8379,2585.4922,,,,
29.5273,7857.3857,26.0703,26.6416,29.5137,33.88256979,17337.3516,2615.0059,,,,
28.5826,7885.9683,26.2422,26.6001,29.6582,33.71748791,17367.0098,2644.6641,,,,
28.6611,7914.6294,26.4062,26.5498,28.9316,34.56428265,17395.9414,2673.5957,,,,
29.459,7944.0884,26.2334,26.5562,28.7559,34.77547216,17424.6973,2702.3516,,,,
28.7055,7972.7939,26.1621,26.6904,29.9863,33.34856251,17454.6836,2732.3379,,,,
29.1773,8001.9712,26.1836,26.9116,29.3242,34.10152707,17484.0078,2761.6621,,,,
29.5503,8031.5215,26.0484,26.6787,29.3926,34.02216885,17513.4004,2791.0547,,,,
28.9248,8060.4463,26.1757,26.9283,29.9023,33.44224357,17543.3027,2820.957,,,,
28.75,8089.1963,26.274,26.6616,28.793,34.7306637,17572.0957,2849.75,,,,
29.3823,8118.5786,26.1538,26.5972,28.8731,34.6343136,17600.9688,2878.6231,,,,
29.0205,8147.5991,26.1543,26.9648,29.6308,33.74866693,17630.5996,2908.2539,,,,
29.2505,8176.8496,26.2866,26.8559,29.832,33.52105122,17660.4316,2938.0859,,,,
29.4072,8206.2568,26.3018,26.4384,29.25,34.18803419,17689.6816,2967.3359,,,,
28.8653,8235.1221,26.0371,26.8105,31.0645,32.19108629,17720.7461,2998.4004,,,,
28.8427,8263.9648,26.6426,26.7657,28.8379,34.67658879,17749.584,3027.2383,,,,
29.7227,8293.6875,26.3311,26.9082,29.3222,34.10385305,17778.9062,3056.5605,,,,
29.2061,8322.8936,26.3203,27.1621,29.8458,33.50555187,17808.752,3086.4063,,,,
29.4257,8352.3193,26.124,27.1817,28.7675,34.76144955,17837.5195,3115.1738,,,,
30.085,8382.4043,25.9218,27.1846,29.4649,33.93868637,17866.9844,3144.6387,,,,
29.4551,8411.8594,26.0556,27.209,30.6875,32.58655804,17897.6719,3175.3262,,,,
28.9795,8440.8389,26.0098,26.7539,29.0488,34.42482994,17926.7207,3204.375,,,,
29.7636,8470.6025,25.9639,26.9248,28.9238,34.57360375,17955.6445,3233.2988,,,,
28.6319,8499.2344,26.0596,26.5625,29.7442,33.61999987,17985.3887,3263.043,,,,
28.8935,8528.1279,26.3662,26.5762,28.9629,34.52692928,18014.3516,3292.0059,,,,
29.4678,8557.5957,25.8603,26.5039,29.5351,33.85801978,18043.8867,3321.541,,,,
28.79,8586.3857,25.9727,26.8184,30.3594,32.93872738,18074.2461,3351.9004,,,,
28.7881,8615.1738,26.2823,26.6533,29.1426,34.31402826,18103.3887,3381.043,,,,
29.4746,8644.6484,26.0879,26.5791,29.0898,34.3763106,18132.4785,3410.1328,,,,
28.8438,8673.4922,25.9648,26.7666,29.875,33.47280335,18162.3535,3440.0078,,,,
28.8154,8702.3076,26.6377,26.5361,28.7949,34.72837204,18191.1484,3468.8027,,,,
29.668,8731.9756,26.29,26.7177,29.1582,34.29566983,18220.3066,3497.9609,,,,
28.8213,8760.7969,26.1435,26.7978,29.877,33.47056264,18250.1836,3527.8379,,,,
28.7549,8789.5518,26.2481,26.6514,28.9941,34.48977551,18279.1777,3556.832,,,,
29.6865,8819.2383,26.0049,26.8291,29.0196,34.45946877,18308.1973,3585.8516,,,,
29.0508,8848.2891,25.9795,27.0245,29.748,33.61570526,18337.9453,3615.5996,,,,
29.0244,8877.3135,26.086,26.7481,29.0078,34.47348644,18366.9531,3644.6074,,,,
29.6719,8906.9854,26.0147,26.7051,29.1797,34.27040031,18396.1328,3673.7871,,,,
29.1533,8936.1387,25.9814,26.7432,29.957,33.38117969,18426.0898,3703.7441,,,,
28.79,8964.9287,26.1357,26.6718,29.25,34.18803419,18455.3398,3732.9941,,,,
29.4746,8994.4033,26.4013,26.7246,29.4473,33.95897077,18484.7871,3762.4414,,,,
28.6221,9023.0254,26.3613,26.5908,29.7188,33.64873413,18514.5059,3792.1602,,,,
28.8242,9051.8496,26.2129,26.5683,29.1718,34.27968106,18543.6777,3821.332,,,,
29.5449,9081.3945,26.0547,26.5528,29.3047,34.12421898,18572.9824,3850.6367,,,,
28.5547,9109.9492,25.8379,26.5927,29.4766,33.92521526,18602.459,3880.1133,,,,
28.832,9138.7812,26.0879,26.7569,28.9336,34.56189344,18631.3926,3909.0469,,,,
29.4209,9168.2021,26.3789,26.6093,29.289,34.14251084,18660.6816,3938.3359,,,,
28.668,9196.8701,26.2178,26.6181,29.8672,33.48154497,18690.5488,3968.2031,,,,
28.9238,9225.7939,26.1601,26.6495,29.1114,34.35080415,18719.6602,3997.3145,,,,
30.2012,9255.9951,26.543,27.2236,29.1054,34.35788548,18748.7656,4026.4199,,,,
29.3233,9285.3184,26.1601,27.2978,29.4883,33.91175483,18778.2539,4055.9082,,,,
29.1181,9314.4365,25.9072,26.8779,29.1719,34.27956355,18807.4258,4085.0801,,,,
29.9405,9344.377,26.3711,26.9844,29.0078,34.47348644,18836.4336,4114.0879,,,,
