latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel
28.8999,6564.1152,26.0288,26.6958,29.2871,34.14472583,20326.1328,2153.1348
30.2183,6594.3335,25.8828,26.7392,29.7637,33.59797337,20355.8965,2182.8985
28.9477,6623.2812,26.4272,26.7925,29.1445,34.31179125,20385.041,2212.043
29.0284,6652.3096,25.8559,26.8096,29.1992,34.24751363,20414.2402,2241.2422
29.5459,6681.8555,26.0132,26.648,29.8594,33.49029116,20444.0996,2271.1016
28.6953,6710.5508,26.126,26.5234,29.3633,34.05611767,20473.4629,2300.4649
29.1015,6739.6523,25.8628,26.7881,29.4004,34.01314268,20502.8633,2329.8653
29.7491,6769.4014,26.0088,26.6367,30.2793,33.02586255,20533.1426,2360.1446
29.0039,6798.4053,26.3437,26.8653,28.7597,34.7708773,20561.9023,2388.9043
29.0844,6827.4897,25.9263,26.9214,29.2481,34.19025509,20591.1504,2418.1524
30.9883,6858.478,25.8442,26.9418,29.9082,33.43564641,20621.0586,2448.0606
28.6895,6887.1675,26.3745,26.6191,29.0801,34.38777721,20650.1387,2477.1407
28.9687,6916.1362,26.1348,26.5039,29.7285,33.63775502,20679.8672,2506.8692
29.9361,6946.0723,26.1001,26.6504,29.8183,33.53645245,20709.6855,2536.6875
28.8711,6974.9434,25.9858,26.6245,29.0977,34.36697746,20738.7832,2565.7852
29.1962,7004.1396,26.2651,26.7148,29.0469,34.42708172,20767.8301,2594.8321
29.9151,7034.0547,26.0913,26.8706,29.9258,33.4159822,20797.7559,2624.7579
28.8862,7062.9409,26.061,26.7187,29.3515,34.06980904,20827.1074,2654.1094
29.1724,7092.1133,26.3149,26.7632,29.4317,33.97697041,20856.5391,2683.5411
29.7168,7121.8301,26.0459,26.6807,30.7285,32.5430789,20887.2676,2714.2696
28.7822,7150.6123,25.9946,26.6763,29.125,34.33476395,20916.3926,2743.3946
28.752,7179.3643,26.3521,26.6264,28.8613,34.64847391,20945.2539,2772.2559
29.6142,7208.9785,26.3658,26.7476,30.8164,32.45025376,20976.0703,2803.0723
28.8887,7237.8672,25.7901,26.8096,29.3809,34.03571708,21005.4512,2832.4532
29.0986,7266.9658,26.2144,26.8369,29.5898,33.79542951,21035.041,2862.043
