timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:06:53.974, Tesla T4, 0, 84 %, 287 MiB, 72.15 W
2024/01/07 20:06:53.984, Tesla T4, 1, 100 %, 285 MiB, 65.30 W
2024/01/07 20:06:53.992, Tesla T4, 2, 91 %, 285 MiB, 61.33 W
2024/01/07 20:06:54.003, Tesla T4, 3, 85 %, 285 MiB, 78.98 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:06:54.813, Tesla T4, 0, 82 %, 287 MiB, 70.23 W
2024/01/07 20:06:54.818, Tesla T4, 1, 100 %, 285 MiB, 76.48 W
2024/01/07 20:06:54.825, Tesla T4, 2, 89 %, 285 MiB, 66.02 W
2024/01/07 20:06:54.834, Tesla T4, 3, 87 %, 285 MiB, 64.10 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:06:55.646, Tesla T4, 0, 83 %, 287 MiB, 67.01 W
2024/01/07 20:06:55.651, Tesla T4, 1, 100 %, 285 MiB, 69.11 W
2024/01/07 20:06:55.656, Tesla T4, 2, 88 %, 285 MiB, 78.64 W
2024/01/07 20:06:55.665, Tesla T4, 3, 87 %, 285 MiB, 70.47 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:06:56.478, Tesla T4, 0, 81 %, 287 MiB, 72.83 W
2024/01/07 20:06:56.482, Tesla T4, 1, 100 %, 285 MiB, 70.08 W
2024/01/07 20:06:56.488, Tesla T4, 2, 89 %, 285 MiB, 58.72 W
2024/01/07 20:06:56.495, Tesla T4, 3, 84 %, 285 MiB, 78.98 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:06:57.304, Tesla T4, 0, 81 %, 287 MiB, 74.03 W
2024/01/07 20:06:57.311, Tesla T4, 1, 100 %, 285 MiB, 75.18 W
2024/01/07 20:06:57.316, Tesla T4, 2, 90 %, 285 MiB, 72.58 W
2024/01/07 20:06:57.324, Tesla T4, 3, 86 %, 285 MiB, 67.43 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:06:58.135, Tesla T4, 0, 82 %, 287 MiB, 70.04 W
2024/01/07 20:06:58.141, Tesla T4, 1, 100 %, 285 MiB, 68.92 W
2024/01/07 20:06:58.147, Tesla T4, 2, 89 %, 285 MiB, 76.48 W
2024/01/07 20:06:58.154, Tesla T4, 3, 87 %, 285 MiB, 61.00 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:06:58.964, Tesla T4, 0, 83 %, 287 MiB, 66.57 W
2024/01/07 20:06:58.971, Tesla T4, 1, 100 %, 285 MiB, 63.22 W
2024/01/07 20:06:58.976, Tesla T4, 2, 90 %, 285 MiB, 72.34 W
2024/01/07 20:06:58.985, Tesla T4, 3, 87 %, 285 MiB, 76.05 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
