timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:26:05.470, Tesla T4, 0, 37 %, 287 MiB, 57.28 W
2024/01/07 18:26:05.474, Tesla T4, 1, 52 %, 285 MiB, 72.44 W
2024/01/07 18:26:05.479, Tesla T4, 2, 76 %, 285 MiB, 82.10 W
2024/01/07 18:26:05.489, Tesla T4, 3, 44 %, 285 MiB, 40.72 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:26:06.292, Tesla T4, 0, 37 %, 287 MiB, 58.78 W
2024/01/07 18:26:06.297, Tesla T4, 1, 56 %, 285 MiB, 78.83 W
2024/01/07 18:26:06.302, Tesla T4, 2, 78 %, 285 MiB, 77.73 W
2024/01/07 18:26:06.307, Tesla T4, 3, 39 %, 285 MiB, 49.35 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:26:07.118, Tesla T4, 0, 38 %, 287 MiB, 43.51 W
2024/01/07 18:26:07.124, Tesla T4, 1, 56 %, 285 MiB, 53.29 W
2024/01/07 18:26:07.128, Tesla T4, 2, 78 %, 285 MiB, 76.67 W
2024/01/07 18:26:07.133, Tesla T4, 3, 42 %, 285 MiB, 55.19 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:26:07.935, Tesla T4, 0, 32 %, 287 MiB, 62.31 W
2024/01/07 18:26:07.940, Tesla T4, 1, 50 %, 285 MiB, 53.03 W
2024/01/07 18:26:07.945, Tesla T4, 2, 73 %, 285 MiB, 64.43 W
2024/01/07 18:26:07.957, Tesla T4, 3, 48 %, 285 MiB, 77.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:26:08.761, Tesla T4, 0, 36 %, 287 MiB, 69.89 W
2024/01/07 18:26:08.765, Tesla T4, 1, 51 %, 285 MiB, 65.05 W
2024/01/07 18:26:08.770, Tesla T4, 2, 72 %, 285 MiB, 48.97 W
2024/01/07 18:26:08.775, Tesla T4, 3, 42 %, 285 MiB, 51.03 W
