timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 17:57:07.626, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28523, ./DemoServer, 253 MiB
2024/01/07 17:57:07.626, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28595, ./RayTracer, 22 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 17:57:08.479, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28523, ./DemoServer, 253 MiB
2024/01/07 17:57:08.479, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28595, ./RayTracer, 22 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 17:57:09.303, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28523, ./DemoServer, 253 MiB
2024/01/07 17:57:09.303, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28595, ./RayTracer, 22 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 17:57:10.124, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28523, ./DemoServer, 253 MiB
2024/01/07 17:57:10.124, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28595, ./RayTracer, 22 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 17:57:10.947, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28523, ./DemoServer, 253 MiB
2024/01/07 17:57:10.947, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28595, ./RayTracer, 22 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 17:57:11.774, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28523, ./DemoServer, 253 MiB
2024/01/07 17:57:11.774, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 28595, ./RayTracer, 22 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
