timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:39:53.365, Tesla T4, 0, 97 %, 287 MiB, 59.63 W
2024/01/07 18:39:53.371, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 18:39:53.375, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:39:53.379, Tesla T4, 3, 0 %, 9 MiB, 36.31 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:39:54.192, Tesla T4, 0, 96 %, 287 MiB, 66.42 W
2024/01/07 18:39:54.197, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 18:39:54.201, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:39:54.205, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:39:55.011, Tesla T4, 0, 96 %, 287 MiB, 75.14 W
2024/01/07 18:39:55.022, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 18:39:55.026, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:39:55.030, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:39:55.836, Tesla T4, 0, 94 %, 287 MiB, 75.04 W
2024/01/07 18:39:55.841, Tesla T4, 1, 0 %, 9 MiB, 36.33 W
2024/01/07 18:39:55.845, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:39:55.849, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:39:56.655, Tesla T4, 0, 96 %, 287 MiB, 68.01 W
2024/01/07 18:39:56.669, Tesla T4, 1, 0 %, 9 MiB, 36.31 W
2024/01/07 18:39:56.674, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:39:56.678, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:39:57.483, Tesla T4, 0, 96 %, 287 MiB, 59.36 W
2024/01/07 18:39:57.488, Tesla T4, 1, 0 %, 9 MiB, 36.31 W
2024/01/07 18:39:57.495, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:39:57.499, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:39:58.303, Tesla T4, 0, 97 %, 287 MiB, 73.12 W
2024/01/07 18:39:58.310, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 18:39:58.317, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:39:58.321, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:39:59.125, Tesla T4, 0, 96 %, 287 MiB, 77.01 W
2024/01/07 18:39:59.138, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 18:39:59.142, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:39:59.146, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:39:59.952, Tesla T4, 0, 96 %, 287 MiB, 73.50 W
2024/01/07 18:39:59.957, Tesla T4, 1, 0 %, 9 MiB, 36.33 W
2024/01/07 18:39:59.962, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:39:59.966, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:40:00.771, Tesla T4, 0, 97 %, 287 MiB, 67.43 W
