timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:07.564, Tesla T4, 0, 90 %, 287 MiB, 78.40 W
2024/01/07 17:57:07.570, Tesla T4, 1, 0 %, 9 MiB, 36.33 W
2024/01/07 17:57:07.574, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 17:57:07.578, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:08.390, Tesla T4, 0, 91 %, 287 MiB, 77.78 W
2024/01/07 17:57:08.399, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 17:57:08.403, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 17:57:08.407, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:09.240, Tesla T4, 0, 91 %, 287 MiB, 51.81 W
2024/01/07 17:57:09.246, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 17:57:09.250, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 17:57:09.254, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:10.063, Tesla T4, 0, 90 %, 287 MiB, 68.59 W
2024/01/07 17:57:10.068, Tesla T4, 1, 0 %, 9 MiB, 36.31 W
2024/01/07 17:57:10.072, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 17:57:10.076, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:10.884, Tesla T4, 0, 90 %, 287 MiB, 75.76 W
2024/01/07 17:57:10.889, Tesla T4, 1, 0 %, 9 MiB, 36.31 W
2024/01/07 17:57:10.894, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 17:57:10.898, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:11.708, Tesla T4, 0, 89 %, 287 MiB, 76.53 W
2024/01/07 17:57:11.717, Tesla T4, 1, 0 %, 9 MiB, 36.31 W
2024/01/07 17:57:11.721, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 17:57:11.725, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:12.535, Tesla T4, 0, 89 %, 287 MiB, 65.59 W
2024/01/07 17:57:12.547, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 17:57:12.551, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 17:57:12.556, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:13.365, Tesla T4, 0, 90 %, 287 MiB, 75.61 W
2024/01/07 17:57:13.370, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 17:57:13.374, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 17:57:13.379, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:14.190, Tesla T4, 0, 88 %, 287 MiB, 70.95 W
2024/01/07 17:57:14.195, Tesla T4, 1, 0 %, 9 MiB, 36.33 W
2024/01/07 17:57:14.199, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 17:57:14.203, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:15.010, Tesla T4, 0, 89 %, 287 MiB, 67.47 W
2024/01/07 17:57:15.021, Tesla T4, 1, 0 %, 9 MiB, 36.31 W
2024/01/07 17:57:15.025, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 17:57:15.029, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:15.839, Tesla T4, 0, 92 %, 287 MiB, 75.52 W
2024/01/07 17:57:15.851, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 17:57:15.855, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 17:57:15.859, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:16.668, Tesla T4, 0, 90 %, 287 MiB, 79.36 W
2024/01/07 17:57:16.673, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 17:57:16.677, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 17:57:16.681, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:17.490, Tesla T4, 0, 90 %, 287 MiB, 61.44 W
2024/01/07 17:57:17.495, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 17:57:17.499, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 17:57:17.503, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:18.307, Tesla T4, 0, 91 %, 287 MiB, 67.09 W
2024/01/07 17:57:18.312, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 17:57:18.316, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 17:57:18.320, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:19.124, Tesla T4, 0, 92 %, 287 MiB, 74.56 W
2024/01/07 17:57:19.136, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 17:57:19.140, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 17:57:19.144, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:57:19.951, Tesla T4, 0, 91 %, 287 MiB, 80.27 W
2024/01/07 17:57:19.956, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 17:57:19.960, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 17:57:19.965, Tesla T4, 3, 0 %, 9 MiB, 36.12 W
