timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:51:08.024, Tesla T4, 0, 82 %, 191 MiB, 76.43 W
2024/01/07 17:51:08.033, Tesla T4, 1, 0 %, 9 MiB, 36.14 W
2024/01/07 17:51:08.037, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 17:51:08.042, Tesla T4, 3, 0 %, 9 MiB, 35.63 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:51:08.853, Tesla T4, 0, 86 %, 191 MiB, 75.52 W
2024/01/07 17:51:08.862, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 17:51:08.867, Tesla T4, 2, 0 %, 9 MiB, 34.78 W
2024/01/07 17:51:08.871, Tesla T4, 3, 0 %, 9 MiB, 35.63 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:51:09.673, Tesla T4, 0, 86 %, 191 MiB, 67.67 W
2024/01/07 17:51:09.678, Tesla T4, 1, 0 %, 9 MiB, 36.21 W
2024/01/07 17:51:09.682, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 17:51:09.688, Tesla T4, 3, 0 %, 9 MiB, 35.63 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:51:10.490, Tesla T4, 0, 85 %, 191 MiB, 56.83 W
2024/01/07 17:51:10.497, Tesla T4, 1, 0 %, 9 MiB, 36.14 W
2024/01/07 17:51:10.501, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 17:51:10.505, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:51:11.307, Tesla T4, 0, 85 %, 191 MiB, 56.99 W
2024/01/07 17:51:11.311, Tesla T4, 1, 0 %, 9 MiB, 36.04 W
2024/01/07 17:51:11.315, Tesla T4, 2, 0 %, 9 MiB, 34.78 W
2024/01/07 17:51:11.319, Tesla T4, 3, 0 %, 9 MiB, 35.63 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:51:12.123, Tesla T4, 0, 84 %, 191 MiB, 64.05 W
2024/01/07 17:51:12.131, Tesla T4, 1, 0 %, 9 MiB, 36.14 W
2024/01/07 17:51:12.135, Tesla T4, 2, 0 %, 9 MiB, 34.78 W
2024/01/07 17:51:12.139, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:51:12.940, Tesla T4, 0, 84 %, 191 MiB, 68.59 W
2024/01/07 17:51:12.944, Tesla T4, 1, 0 %, 9 MiB, 36.31 W
2024/01/07 17:51:12.949, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 17:51:12.953, Tesla T4, 3, 0 %, 9 MiB, 35.63 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:51:13.755, Tesla T4, 0, 85 %, 191 MiB, 75.42 W
2024/01/07 17:51:13.764, Tesla T4, 1, 0 %, 9 MiB, 36.02 W
2024/01/07 17:51:13.769, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 17:51:13.773, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 17:51:14.574, Tesla T4, 0, 85 %, 191 MiB, 54.99 W
2024/01/07 17:51:14.580, Tesla T4, 1, 0 %, 9 MiB, 36.23 W
2024/01/07 17:51:14.584, Tesla T4, 2, 0 %, 9 MiB, 34.78 W
2024/01/07 17:51:14.588, Tesla T4, 3, 0 %, 9 MiB, 35.63 W
