timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:53.936, Tesla T4, 0, 44 %, 160 MiB, 46.51 W
2024/01/07 20:57:53.940, Tesla T4, 1, 53 %, 134 MiB, 57.89 W
2024/01/07 20:57:53.944, Tesla T4, 2, 73 %, 134 MiB, 61.91 W
2024/01/07 20:57:53.950, Tesla T4, 3, 47 %, 134 MiB, 50.42 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:54.757, Tesla T4, 0, 43 %, 160 MiB, 44.26 W
2024/01/07 20:57:54.761, Tesla T4, 1, 53 %, 134 MiB, 53.22 W
2024/01/07 20:57:54.765, Tesla T4, 2, 72 %, 134 MiB, 62.68 W
2024/01/07 20:57:54.769, Tesla T4, 3, 46 %, 134 MiB, 52.32 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:55.574, Tesla T4, 0, 44 %, 160 MiB, 42.64 W
2024/01/07 20:57:55.579, Tesla T4, 1, 53 %, 134 MiB, 52.48 W
2024/01/07 20:57:55.584, Tesla T4, 2, 72 %, 134 MiB, 63.06 W
2024/01/07 20:57:55.588, Tesla T4, 3, 46 %, 134 MiB, 52.51 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:56.393, Tesla T4, 0, 43 %, 160 MiB, 43.80 W
2024/01/07 20:57:56.397, Tesla T4, 1, 53 %, 134 MiB, 52.26 W
2024/01/07 20:57:56.401, Tesla T4, 2, 72 %, 134 MiB, 62.58 W
2024/01/07 20:57:56.405, Tesla T4, 3, 46 %, 134 MiB, 53.19 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:57.211, Tesla T4, 0, 44 %, 160 MiB, 45.22 W
2024/01/07 20:57:57.216, Tesla T4, 1, 53 %, 134 MiB, 57.02 W
2024/01/07 20:57:57.220, Tesla T4, 2, 73 %, 134 MiB, 60.11 W
2024/01/07 20:57:57.224, Tesla T4, 3, 47 %, 134 MiB, 49.93 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:58.028, Tesla T4, 0, 45 %, 160 MiB, 46.19 W
2024/01/07 20:57:58.032, Tesla T4, 1, 53 %, 134 MiB, 56.83 W
2024/01/07 20:57:58.036, Tesla T4, 2, 72 %, 134 MiB, 61.66 W
2024/01/07 20:57:58.041, Tesla T4, 3, 47 %, 134 MiB, 49.74 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:58.849, Tesla T4, 0, 8 %, 160 MiB, 36.70 W
2024/01/07 20:57:58.853, Tesla T4, 1, 2 %, 134 MiB, 37.67 W
2024/01/07 20:57:58.857, Tesla T4, 2, 2 %, 134 MiB, 36.23 W
2024/01/07 20:57:58.863, Tesla T4, 3, 2 %, 134 MiB, 36.89 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:59.668, Tesla T4, 0, 6 %, 160 MiB, 36.41 W
2024/01/07 20:57:59.672, Tesla T4, 1, 2 %, 134 MiB, 37.38 W
2024/01/07 20:57:59.676, Tesla T4, 2, 2 %, 134 MiB, 35.94 W
2024/01/07 20:57:59.680, Tesla T4, 3, 2 %, 134 MiB, 36.60 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:58:00.484, Tesla T4, 0, 0 %, 7 MiB, 36.50 W
2024/01/07 20:58:00.489, Tesla T4, 1, 0 %, 7 MiB, 37.38 W
2024/01/07 20:58:00.494, Tesla T4, 2, 0 %, 7 MiB, 35.94 W
2024/01/07 20:58:00.498, Tesla T4, 3, 1 %, 7 MiB, 36.79 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:58:01.299, Tesla T4, 0, 0 %, 7 MiB, 36.41 W
2024/01/07 20:58:01.303, Tesla T4, 1, 0 %, 7 MiB, 37.38 W
2024/01/07 20:58:01.308, Tesla T4, 2, 0 %, 7 MiB, 35.94 W
2024/01/07 20:58:01.312, Tesla T4, 3, 0 %, 7 MiB, 36.89 W
