timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:33.730, Tesla T4, 0, 95 %, 191 MiB, 77.44 W
2024/01/07 21:50:33.735, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:50:33.739, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:50:33.743, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:34.541, Tesla T4, 0, 94 %, 191 MiB, 70.13 W
2024/01/07 21:50:34.551, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:50:34.556, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:50:34.561, Tesla T4, 3, 0 %, 10 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:35.365, Tesla T4, 0, 97 %, 191 MiB, 70.42 W
2024/01/07 21:50:35.369, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 21:50:35.373, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:50:35.377, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:36.180, Tesla T4, 0, 95 %, 191 MiB, 72.49 W
2024/01/07 21:50:36.190, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:50:36.195, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:50:36.199, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:36.995, Tesla T4, 0, 100 %, 191 MiB, 69.65 W
2024/01/07 21:50:37.000, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:50:37.004, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:50:37.010, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:37.809, Tesla T4, 0, 95 %, 191 MiB, 71.91 W
2024/01/07 21:50:37.816, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:50:37.822, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 21:50:37.826, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:38.623, Tesla T4, 0, 94 %, 191 MiB, 70.13 W
2024/01/07 21:50:38.628, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:50:38.632, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:50:38.637, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:39.432, Tesla T4, 0, 94 %, 191 MiB, 70.13 W
2024/01/07 21:50:39.437, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 21:50:39.441, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:50:39.445, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:40.241, Tesla T4, 0, 95 %, 191 MiB, 69.93 W
2024/01/07 21:50:40.250, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:50:40.254, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:50:40.258, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:41.059, Tesla T4, 0, 95 %, 191 MiB, 59.84 W
2024/01/07 21:50:41.064, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:50:41.070, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:50:41.075, Tesla T4, 3, 0 %, 10 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:41.876, Tesla T4, 0, 94 %, 191 MiB, 70.13 W
2024/01/07 21:50:41.880, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 21:50:41.884, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 21:50:41.890, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:42.691, Tesla T4, 0, 94 %, 191 MiB, 55.12 W
2024/01/07 21:50:42.695, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:50:42.699, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:50:42.703, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:50:43.507, Tesla T4, 0, 95 %, 191 MiB, 70.76 W
2024/01/07 21:50:43.511, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 21:50:43.517, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:50:43.521, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
