timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:43.571, Tesla T4, 0, 48 %, 191 MiB, 60.62 W
2024/01/07 21:39:43.575, Tesla T4, 1, 0 %, 9 MiB, 36.62 W
2024/01/07 21:39:43.579, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:43.583, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:44.390, Tesla T4, 0, 47 %, 191 MiB, 62.64 W
2024/01/07 21:39:44.395, Tesla T4, 1, 0 %, 9 MiB, 36.70 W
2024/01/07 21:39:44.399, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:44.403, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:45.208, Tesla T4, 0, 48 %, 191 MiB, 63.95 W
2024/01/07 21:39:45.212, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 21:39:45.216, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 21:39:45.220, Tesla T4, 3, 0 %, 10 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:46.022, Tesla T4, 0, 49 %, 191 MiB, 57.21 W
2024/01/07 21:39:46.027, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:39:46.031, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 21:39:46.035, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:46.836, Tesla T4, 0, 47 %, 191 MiB, 63.56 W
2024/01/07 21:39:46.842, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:39:46.846, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 21:39:46.850, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:47.652, Tesla T4, 0, 48 %, 191 MiB, 64.68 W
2024/01/07 21:39:47.656, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:39:47.661, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:47.665, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:48.469, Tesla T4, 0, 48 %, 191 MiB, 64.97 W
2024/01/07 21:39:48.474, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:39:48.478, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:39:48.482, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:49.284, Tesla T4, 0, 50 %, 191 MiB, 61.39 W
2024/01/07 21:39:49.289, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:39:49.293, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:39:49.297, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:50.099, Tesla T4, 0, 48 %, 191 MiB, 64.87 W
2024/01/07 21:39:50.104, Tesla T4, 1, 0 %, 9 MiB, 36.70 W
2024/01/07 21:39:50.108, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:50.112, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:50.915, Tesla T4, 0, 47 %, 191 MiB, 55.28 W
2024/01/07 21:39:50.920, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:39:50.924, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:50.928, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:51.730, Tesla T4, 0, 48 %, 191 MiB, 64.87 W
2024/01/07 21:39:51.734, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:39:51.738, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:51.742, Tesla T4, 3, 0 %, 10 MiB, 36.12 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:52.545, Tesla T4, 0, 48 %, 191 MiB, 67.38 W
2024/01/07 21:39:52.549, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:39:52.553, Tesla T4, 2, 0 %, 10 MiB, 35.17 W
2024/01/07 21:39:52.557, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:53.373, Tesla T4, 0, 47 %, 191 MiB, 65.07 W
2024/01/07 21:39:53.381, Tesla T4, 1, 0 %, 9 MiB, 36.62 W
2024/01/07 21:39:53.387, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:53.392, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:54.194, Tesla T4, 0, 47 %, 191 MiB, 54.64 W
2024/01/07 21:39:54.198, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:39:54.202, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:54.208, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:55.010, Tesla T4, 0, 47 %, 191 MiB, 53.87 W
2024/01/07 21:39:55.014, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:39:55.018, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:55.022, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
