timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:43:15.392, Tesla T4, 0, 54 %, 191 MiB, 67.09 W
2024/01/07 21:43:15.396, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:43:15.400, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:43:15.404, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:43:16.212, Tesla T4, 0, 64 %, 191 MiB, 69.59 W
2024/01/07 21:43:16.217, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:43:16.221, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:43:16.225, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:43:17.031, Tesla T4, 0, 62 %, 191 MiB, 64.43 W
2024/01/07 21:43:17.035, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:43:17.039, Tesla T4, 2, 0 %, 10 MiB, 35.17 W
2024/01/07 21:43:17.044, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:43:17.850, Tesla T4, 0, 64 %, 191 MiB, 54.83 W
2024/01/07 21:43:17.855, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:43:17.859, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:43:17.863, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:43:18.671, Tesla T4, 0, 61 %, 191 MiB, 71.57 W
2024/01/07 21:43:18.675, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:43:18.679, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:43:18.683, Tesla T4, 3, 0 %, 10 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:43:19.491, Tesla T4, 0, 62 %, 191 MiB, 72.01 W
2024/01/07 21:43:19.496, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:43:19.500, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:43:19.504, Tesla T4, 3, 0 %, 10 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:43:20.311, Tesla T4, 0, 63 %, 191 MiB, 64.87 W
2024/01/07 21:43:20.319, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:43:20.325, Tesla T4, 2, 0 %, 10 MiB, 35.17 W
2024/01/07 21:43:20.329, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:43:21.139, Tesla T4, 0, 65 %, 191 MiB, 58.53 W
2024/01/07 21:43:21.143, Tesla T4, 1, 0 %, 9 MiB, 36.79 W
2024/01/07 21:43:21.147, Tesla T4, 2, 0 %, 10 MiB, 35.17 W
