method_name,gpu_num,remote,preprocess,render,copy,present
benchmark,1,0.121108891,0.953405445,0.025461361,0.001213508,19.07099634
multithread,1,0.136860883,1.026054116,0.028325703,0.002224297,19.36000873
gVulkan,1,0.106835294,0.620878186,14.01885526,0,0.089209965
benchmark,2,0.145437965,0.92185607,7.352043799,0.645056723,5.473603588
multithread,2,0.160806588,0.96595451,7.380721725,0.149545176,5.403822649
gVulkan,2,0.127788512,1.026645977,7.427433851,4.432292414,0.094725905
benchmark,4,0.186542873,0.934085968,3.923195991,0.930076002,5.695448655
multithread,4,0.185941517,0.981488617,3.971303595,0.284647778,5.487105689
gVulkan,4,0.190818797,0.998452804,4.060740834,0.400383584,5.578973684
local_oneGPU,1,0,0,0,0,18.85692088
