method_name,gpu_num,remote,preprocess,render,copy,present
benchmark,1,0.113669016,0.679533108,0.020812458,0.000870228,14.2281881
multithread,1,0.124128554,0.689113979,0.024101901,0.001310914,14.36019975
gVulkan,1,0.11206647,0.61733367,13.3938815,0,0.095701053
benchmark,2,0.132393038,0.663581926,6.891911296,0.089666056,1.221430309
multithread,2,0.131473767,0.678160878,6.979076354,0.065487536,1.100197918
gVulkan,2,0.135352462,0.674218487,7.047910084,0.14831704,0.084933092
benchmark,4,0.17787207,0.688359413,3.911460727,0.15086985,1.22277097
multithread,4,0.172737397,0.709332104,3.968827482,0.171069342,1.107849135
gVulkan,4,0.176395026,0.812414619,4.04619661,0.23982786,0.094148148
local_oneGPU,1,0,0,0,0,60.36070787
