timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:29:30.384, Tesla T4, 0, 100 %, 191 MiB, 67.76 W
2024/01/07 19:29:30.389, Tesla T4, 1, 100 %, 155 MiB, 69.93 W
2024/01/07 19:29:30.396, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 19:29:30.400, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:29:31.207, Tesla T4, 0, 97 %, 191 MiB, 70.03 W
2024/01/07 19:29:31.212, Tesla T4, 1, 100 %, 155 MiB, 70.41 W
2024/01/07 19:29:31.217, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:29:31.221, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:29:32.029, Tesla T4, 0, 97 %, 191 MiB, 67.62 W
2024/01/07 19:29:32.034, Tesla T4, 1, 100 %, 155 MiB, 68.00 W
2024/01/07 19:29:32.038, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:29:32.042, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:29:32.847, Tesla T4, 0, 98 %, 191 MiB, 70.95 W
2024/01/07 19:29:32.852, Tesla T4, 1, 100 %, 155 MiB, 71.33 W
2024/01/07 19:29:32.856, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:29:32.861, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:29:33.664, Tesla T4, 0, 99 %, 191 MiB, 72.30 W
2024/01/07 19:29:33.670, Tesla T4, 1, 100 %, 155 MiB, 69.69 W
2024/01/07 19:29:33.677, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 19:29:33.681, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:29:34.485, Tesla T4, 0, 98 %, 191 MiB, 71.33 W
2024/01/07 19:29:34.492, Tesla T4, 1, 100 %, 155 MiB, 71.71 W
