timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:31.892, Tesla T4, 0, 55 %, 191 MiB, 46.87 W
2024/01/07 18:08:31.896, Tesla T4, 1, 77 %, 155 MiB, 69.25 W
2024/01/07 18:08:31.904, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:08:31.908, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:32.715, Tesla T4, 0, 55 %, 191 MiB, 50.13 W
2024/01/07 18:08:32.719, Tesla T4, 1, 74 %, 155 MiB, 76.34 W
2024/01/07 18:08:32.723, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:08:32.727, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:33.532, Tesla T4, 0, 51 %, 191 MiB, 50.97 W
2024/01/07 18:08:33.536, Tesla T4, 1, 71 %, 155 MiB, 72.96 W
2024/01/07 18:08:33.542, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:08:33.546, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:34.351, Tesla T4, 0, 51 %, 191 MiB, 73.89 W
2024/01/07 18:08:34.356, Tesla T4, 1, 77 %, 155 MiB, 53.22 W
2024/01/07 18:08:34.360, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:08:34.364, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:35.167, Tesla T4, 0, 48 %, 191 MiB, 61.39 W
2024/01/07 18:08:35.171, Tesla T4, 1, 78 %, 155 MiB, 59.72 W
2024/01/07 18:08:35.180, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:08:35.185, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:35.989, Tesla T4, 0, 50 %, 191 MiB, 60.23 W
2024/01/07 18:08:35.994, Tesla T4, 1, 79 %, 155 MiB, 64.76 W
2024/01/07 18:08:35.998, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:08:36.002, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:36.804, Tesla T4, 0, 47 %, 191 MiB, 61.19 W
2024/01/07 18:08:36.810, Tesla T4, 1, 76 %, 155 MiB, 76.72 W
2024/01/07 18:08:36.819, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:08:36.823, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:37.625, Tesla T4, 0, 51 %, 191 MiB, 72.35 W
2024/01/07 18:08:37.629, Tesla T4, 1, 77 %, 155 MiB, 71.81 W
2024/01/07 18:08:37.634, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:08:37.638, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:38.440, Tesla T4, 0, 52 %, 191 MiB, 70.57 W
2024/01/07 18:08:38.444, Tesla T4, 1, 78 %, 155 MiB, 72.53 W
2024/01/07 18:08:38.452, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:08:38.456, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:39.263, Tesla T4, 0, 55 %, 191 MiB, 68.20 W
2024/01/07 18:08:39.268, Tesla T4, 1, 78 %, 155 MiB, 72.92 W
2024/01/07 18:08:39.272, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:08:39.277, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:40.078, Tesla T4, 0, 55 %, 191 MiB, 71.53 W
2024/01/07 18:08:40.082, Tesla T4, 1, 78 %, 155 MiB, 74.46 W
2024/01/07 18:08:40.088, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:08:40.092, Tesla T4, 3, 0 %, 9 MiB, 36.12 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:40.897, Tesla T4, 0, 49 %, 191 MiB, 49.16 W
2024/01/07 18:08:40.901, Tesla T4, 1, 71 %, 155 MiB, 75.33 W
2024/01/07 18:08:40.906, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:08:40.910, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:41.716, Tesla T4, 0, 55 %, 191 MiB, 47.55 W
2024/01/07 18:08:41.722, Tesla T4, 1, 75 %, 155 MiB, 57.15 W
2024/01/07 18:08:41.727, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:08:41.731, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:08:42.535, Tesla T4, 0, 51 %, 191 MiB, 60.23 W
2024/01/07 18:08:42.540, Tesla T4, 1, 78 %, 155 MiB, 70.27 W
2024/01/07 18:08:42.550, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:08:42.554, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
