timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:48.751, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:48.751, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:48.752, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:49.573, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:49.573, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:49.574, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:50.390, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:50.390, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:50.392, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:51.208, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:51.208, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:51.209, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:52.033, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:52.033, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:52.034, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:52.851, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:52.851, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:52.852, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:53.684, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:53.684, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:53.685, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:54.507, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:54.507, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:54.508, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:55.324, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:55.324, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:55.325, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:56.147, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:56.147, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:56.148, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:56.970, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:56.970, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:56.971, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:57.794, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:57.794, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
2024/01/07 18:13:57.795, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 85962, ./DemoServer, 275 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 18:13:58.610, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85962, ./DemoServer, 253 MiB
2024/01/07 18:13:58.610, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 85986, ./RayTracer, 22 MiB
