method_name,gpu_num,remote,preprocess,render,copy,present,total
benchmark,1,0.113669016,0.679533108,0.020812458,0.000870228,14.2281881,15.04307291
multithread,1,0.124128554,0.689113979,0.024101901,0.001310914,14.36019975,15.1988551
gVulkan,1,0.11206647,0.61733367,13.3938815,0,0.095701053,14.21898269
local_oneGPU,1,0,0,0,0,14.38174592,14.38174592
