method_name,gpu_num,remote,preprocess,render,copy,present,total
benchmark,1,0.121108891,0.954110802,0.025497112,0.001210481,19.06015321,20.16208049
multithread,1,0.136860883,1.023214959,0.028277152,0.002221107,19.35739887,20.54797297
gVulkan,1,0.106835294,0.618284129,14.01898083,0,0.088779789,14.83288004
benchmark,2,0.145437965,0.92222586,7.351987698,0.645101058,5.472516127,14.53726871
multithread,2,0.160806588,0.965816016,7.380684382,0.1497,5.400787898,14.05779488
gVulkan,2,0.127788512,1.02593564,7.427157035,0.184697035,0.094425392,8.860003614
benchmark,4,0.186542873,0.934094148,3.923089629,0.930022306,5.694831616,11.66858057
multithread,4,0.185941517,0.981437115,3.971183712,0.284463591,5.484661845,10.90768778
gVulkan,4,0.183852041,1.320090909,4.103184906,0.371177922,0.109369231,6.087675008
local_oneGPU,1,0,0,0,0,18.85692088,18.85692088
