method_name,gpu_num,remote,preprocess,render,copy,present,total
benchmark,1,0.113669016,0.679533108,0.020812458,0.000870228,14.2281881,15.04307291
multithread,1,0.124128554,0.689113979,0.024101901,0.001310914,14.36019975,15.1988551
gVulkan,1,0.11206647,0.61733367,13.3938815,0,0.095701053,14.21898269
benchmark,2,0.132393038,0.663581926,6.891911296,0.089666056,1.221430309,8.998982625
multithread,2,0.131473767,0.678160878,6.979076354,0.065487536,1.100197918,8.954396453
gVulkan,2,0.135352462,0.674218487,7.047910084,0.14831704,0.084933092,8.090731165
benchmark,4,0.17787207,0.688359413,3.911460727,0.15086985,1.22277097,6.15133303
multithread,4,0.172737397,0.709332104,3.968827482,0.171069342,1.107849135,6.12981546
gVulkan,4,0.176395026,0.812414619,4.04619661,0.23982786,0.094148148,5.368982263
local_oneGPU,1,0,0,0,0,14.38174592,14.38174592
