timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 12:12:12.746, Tesla T4, 0, 0 %, 205 MiB, 39.49 W
2024/01/08 12:12:12.750, Tesla T4, 1, 0 %, 151 MiB, 35.63 W
2024/01/08 12:12:12.754, Tesla T4, 2, 0 %, 9 MiB, 36.12 W
2024/01/08 12:12:12.759, Tesla T4, 3, 0 %, 9 MiB, 37.45 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 12:12:13.565, Tesla T4, 0, 100 %, 242 MiB, 70.51 W
2024/01/08 12:12:13.570, Tesla T4, 1, 100 %, 188 MiB, 70.71 W
2024/01/08 12:12:13.578, Tesla T4, 2, 0 %, 9 MiB, 35.92 W
2024/01/08 12:12:13.582, Tesla T4, 3, 0 %, 9 MiB, 37.55 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 12:12:14.387, Tesla T4, 0, 100 %, 242 MiB, 69.65 W
2024/01/08 12:12:14.397, Tesla T4, 1, 100 %, 188 MiB, 68.92 W
2024/01/08 12:12:14.404, Tesla T4, 2, 0 %, 9 MiB, 36.02 W
2024/01/08 12:12:14.409, Tesla T4, 3, 0 %, 9 MiB, 37.65 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 12:12:15.220, Tesla T4, 0, 100 %, 242 MiB, 66.99 W
2024/01/08 12:12:15.225, Tesla T4, 1, 100 %, 188 MiB, 67.28 W
2024/01/08 12:12:15.233, Tesla T4, 2, 0 %, 9 MiB, 36.02 W
2024/01/08 12:12:15.237, Tesla T4, 3, 0 %, 9 MiB, 37.55 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 12:12:16.044, Tesla T4, 0, 98 %, 242 MiB, 72.49 W
2024/01/08 12:12:16.051, Tesla T4, 1, 100 %, 188 MiB, 70.90 W
2024/01/08 12:12:16.056, Tesla T4, 2, 0 %, 9 MiB, 35.92 W
2024/01/08 12:12:16.060, Tesla T4, 3, 0 %, 9 MiB, 37.55 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 12:12:16.867, Tesla T4, 0, 97 %, 242 MiB, 67.67 W
2024/01/08 12:12:16.871, Tesla T4, 1, 100 %, 188 MiB, 66.46 W
2024/01/08 12:12:16.877, Tesla T4, 2, 0 %, 9 MiB, 35.92 W
2024/01/08 12:12:16.881, Tesla T4, 3, 0 %, 9 MiB, 37.55 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 12:12:17.689, Tesla T4, 0, 98 %, 242 MiB, 72.78 W
2024/01/08 12:12:17.693, Tesla T4, 1, 100 %, 188 MiB, 69.65 W
2024/01/08 12:12:17.702, Tesla T4, 2, 0 %, 9 MiB, 36.02 W
2024/01/08 12:12:17.706, Tesla T4, 3, 0 %, 9 MiB, 37.55 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 12:12:18.516, Tesla T4, 0, 98 %, 242 MiB, 72.10 W
2024/01/08 12:12:18.521, Tesla T4, 1, 100 %, 188 MiB, 69.84 W
2024/01/08 12:12:18.531, Tesla T4, 2, 0 %, 9 MiB, 36.02 W
2024/01/08 12:12:18.536, Tesla T4, 3, 0 %, 9 MiB, 37.74 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 12:12:19.341, Tesla T4, 0, 97 %, 242 MiB, 69.36 W
