timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:31:41.768, Tesla T4, 0, 0 %, 128 MiB, 39.39 W
2024/01/08 11:31:41.772, Tesla T4, 1, 0 %, 100 MiB, 35.82 W
2024/01/08 11:31:41.777, Tesla T4, 2, 0 %, 9 MiB, 35.92 W
2024/01/08 11:31:41.781, Tesla T4, 3, 0 %, 9 MiB, 37.45 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:31:42.582, Tesla T4, 0, 62 %, 165 MiB, 59.46 W
2024/01/08 11:31:42.587, Tesla T4, 1, 84 %, 138 MiB, 67.96 W
2024/01/08 11:31:42.594, Tesla T4, 2, 0 %, 9 MiB, 35.82 W
2024/01/08 11:31:42.598, Tesla T4, 3, 0 %, 9 MiB, 37.84 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:31:43.398, Tesla T4, 0, 61 %, 165 MiB, 62.35 W
2024/01/08 11:31:43.404, Tesla T4, 1, 86 %, 138 MiB, 70.17 W
2024/01/08 11:31:43.408, Tesla T4, 2, 0 %, 9 MiB, 35.82 W
2024/01/08 11:31:43.412, Tesla T4, 3, 0 %, 9 MiB, 37.55 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:31:44.212, Tesla T4, 0, 63 %, 165 MiB, 57.50 W
2024/01/08 11:31:44.216, Tesla T4, 1, 85 %, 138 MiB, 70.61 W
2024/01/08 11:31:44.225, Tesla T4, 2, 0 %, 9 MiB, 35.92 W
2024/01/08 11:31:44.229, Tesla T4, 3, 0 %, 9 MiB, 37.65 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:31:45.028, Tesla T4, 0, 61 %, 165 MiB, 67.57 W
2024/01/08 11:31:45.032, Tesla T4, 1, 85 %, 138 MiB, 67.96 W
2024/01/08 11:31:45.036, Tesla T4, 2, 0 %, 9 MiB, 35.92 W
2024/01/08 11:31:45.040, Tesla T4, 3, 0 %, 9 MiB, 37.65 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
