timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/08 11:22:13.596, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30809, ./DemoServer, 132 MiB
2024/01/08 11:22:13.596, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30834, ./RayTracer, 22 MiB
2024/01/08 11:22:13.597, Tesla T4, GPU-fc7bc37f-29bb-3276-910f-540f9c559c26, 30809, ./DemoServer, 127 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/08 11:22:14.410, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30809, ./DemoServer, 132 MiB
2024/01/08 11:22:14.410, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30834, ./RayTracer, 22 MiB
2024/01/08 11:22:14.411, Tesla T4, GPU-fc7bc37f-29bb-3276-910f-540f9c559c26, 30809, ./DemoServer, 127 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/08 11:22:15.225, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30809, ./DemoServer, 132 MiB
2024/01/08 11:22:15.225, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30834, ./RayTracer, 22 MiB
2024/01/08 11:22:15.226, Tesla T4, GPU-fc7bc37f-29bb-3276-910f-540f9c559c26, 30809, ./DemoServer, 127 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/08 11:22:16.037, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30809, ./DemoServer, 132 MiB
2024/01/08 11:22:16.037, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30834, ./RayTracer, 22 MiB
2024/01/08 11:22:16.038, Tesla T4, GPU-fc7bc37f-29bb-3276-910f-540f9c559c26, 30809, ./DemoServer, 127 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/08 11:22:16.851, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30809, ./DemoServer, 132 MiB
2024/01/08 11:22:16.851, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30834, ./RayTracer, 22 MiB
2024/01/08 11:22:16.852, Tesla T4, GPU-fc7bc37f-29bb-3276-910f-540f9c559c26, 30809, ./DemoServer, 127 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/08 11:22:17.661, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30809, ./DemoServer, 132 MiB
2024/01/08 11:22:17.661, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30834, ./RayTracer, 22 MiB
2024/01/08 11:22:17.662, Tesla T4, GPU-fc7bc37f-29bb-3276-910f-540f9c559c26, 30809, ./DemoServer, 127 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/08 11:22:18.470, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30809, ./DemoServer, 132 MiB
2024/01/08 11:22:18.470, Tesla T4, GPU-87d919c9-d4e2-db8e-3691-f5b47426987d, 30834, ./RayTracer, 22 MiB
2024/01/08 11:22:18.471, Tesla T4, GPU-fc7bc37f-29bb-3276-910f-540f9c559c26, 30809, ./DemoServer, 127 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
