timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:22.640, Tesla T4, 0, 0 %, 154 MiB, 39.58 W
2024/01/08 10:56:22.644, Tesla T4, 1, 0 %, 118 MiB, 36.50 W
2024/01/08 10:56:22.648, Tesla T4, 2, 0 %, 9 MiB, 35.92 W
2024/01/08 10:56:22.652, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:23.452, Tesla T4, 0, 62 %, 191 MiB, 43.80 W
2024/01/08 10:56:23.457, Tesla T4, 1, 94 %, 155 MiB, 63.80 W
2024/01/08 10:56:23.461, Tesla T4, 2, 0 %, 9 MiB, 36.02 W
2024/01/08 10:56:23.465, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:24.266, Tesla T4, 0, 60 %, 191 MiB, 60.04 W
2024/01/08 10:56:24.270, Tesla T4, 1, 93 %, 155 MiB, 73.07 W
2024/01/08 10:56:24.278, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:56:24.284, Tesla T4, 3, 0 %, 9 MiB, 37.45 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:25.083, Tesla T4, 0, 61 %, 191 MiB, 75.33 W
2024/01/08 10:56:25.090, Tesla T4, 1, 94 %, 155 MiB, 75.52 W
2024/01/08 10:56:25.095, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:56:25.099, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:25.897, Tesla T4, 0, 67 %, 191 MiB, 72.63 W
2024/01/08 10:56:25.902, Tesla T4, 1, 96 %, 155 MiB, 72.25 W
2024/01/08 10:56:25.906, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:56:25.910, Tesla T4, 3, 0 %, 9 MiB, 37.35 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:26.712, Tesla T4, 0, 64 %, 191 MiB, 45.54 W
2024/01/08 10:56:26.717, Tesla T4, 1, 93 %, 155 MiB, 62.35 W
2024/01/08 10:56:26.721, Tesla T4, 2, 0 %, 9 MiB, 35.63 W
2024/01/08 10:56:26.726, Tesla T4, 3, 0 %, 9 MiB, 37.35 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:27.525, Tesla T4, 0, 60 %, 191 MiB, 56.12 W
2024/01/08 10:56:27.534, Tesla T4, 1, 94 %, 155 MiB, 73.35 W
2024/01/08 10:56:27.538, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:56:27.542, Tesla T4, 3, 0 %, 9 MiB, 37.45 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:28.343, Tesla T4, 0, 60 %, 191 MiB, 72.87 W
2024/01/08 10:56:28.348, Tesla T4, 1, 94 %, 155 MiB, 73.07 W
2024/01/08 10:56:28.352, Tesla T4, 2, 0 %, 9 MiB, 35.82 W
2024/01/08 10:56:28.357, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:29.158, Tesla T4, 0, 64 %, 191 MiB, 81.38 W
2024/01/08 10:56:29.162, Tesla T4, 1, 95 %, 155 MiB, 72.25 W
2024/01/08 10:56:29.168, Tesla T4, 2, 0 %, 9 MiB, 35.82 W
2024/01/08 10:56:29.172, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:29.972, Tesla T4, 0, 67 %, 191 MiB, 59.75 W
2024/01/08 10:56:29.981, Tesla T4, 1, 94 %, 155 MiB, 63.70 W
2024/01/08 10:56:29.985, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:56:29.989, Tesla T4, 3, 0 %, 9 MiB, 37.35 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:30.790, Tesla T4, 0, 61 %, 191 MiB, 75.14 W
2024/01/08 10:56:30.794, Tesla T4, 1, 93 %, 155 MiB, 74.75 W
2024/01/08 10:56:30.807, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:56:30.811, Tesla T4, 3, 0 %, 9 MiB, 37.35 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:31.614, Tesla T4, 0, 60 %, 191 MiB, 81.76 W
2024/01/08 10:56:31.619, Tesla T4, 1, 94 %, 155 MiB, 72.53 W
2024/01/08 10:56:31.623, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:56:31.627, Tesla T4, 3, 0 %, 9 MiB, 37.65 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:32.433, Tesla T4, 0, 60 %, 191 MiB, 62.06 W
2024/01/08 10:56:32.441, Tesla T4, 1, 94 %, 155 MiB, 58.30 W
2024/01/08 10:56:32.445, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:56:32.449, Tesla T4, 3, 0 %, 9 MiB, 37.45 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:33.252, Tesla T4, 0, 64 %, 191 MiB, 46.38 W
2024/01/08 10:56:33.256, Tesla T4, 1, 96 %, 155 MiB, 66.70 W
2024/01/08 10:56:33.260, Tesla T4, 2, 0 %, 9 MiB, 36.02 W
2024/01/08 10:56:33.268, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:34.071, Tesla T4, 0, 67 %, 191 MiB, 43.70 W
2024/01/08 10:56:34.078, Tesla T4, 1, 94 %, 155 MiB, 73.64 W
2024/01/08 10:56:34.082, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:56:34.088, Tesla T4, 3, 0 %, 9 MiB, 37.35 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:34.888, Tesla T4, 0, 65 %, 191 MiB, 64.43 W
2024/01/08 10:56:34.892, Tesla T4, 1, 93 %, 155 MiB, 72.78 W
2024/01/08 10:56:34.897, Tesla T4, 2, 0 %, 9 MiB, 35.53 W
2024/01/08 10:56:34.901, Tesla T4, 3, 0 %, 9 MiB, 37.16 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:56:35.700, Tesla T4, 0, 60 %, 191 MiB, 74.75 W
2024/01/08 10:56:35.710, Tesla T4, 1, 94 %, 155 MiB, 72.87 W
2024/01/08 10:56:35.715, Tesla T4, 2, 0 %, 9 MiB, 35.44 W
