timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:17:43.078, Tesla T4, 0, 67 %, 191 MiB, 44.67 W
2024/01/08 10:17:43.088, Tesla T4, 1, 94 %, 155 MiB, 69.69 W
2024/01/08 10:17:43.092, Tesla T4, 2, 0 %, 9 MiB, 35.63 W
2024/01/08 10:17:43.096, Tesla T4, 3, 0 %, 9 MiB, 37.35 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:17:43.897, Tesla T4, 0, 61 %, 191 MiB, 77.73 W
2024/01/08 10:17:43.902, Tesla T4, 1, 88 %, 155 MiB, 74.03 W
2024/01/08 10:17:43.908, Tesla T4, 2, 0 %, 9 MiB, 35.63 W
2024/01/08 10:17:43.912, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:17:44.711, Tesla T4, 0, 64 %, 191 MiB, 43.51 W
2024/01/08 10:17:44.722, Tesla T4, 1, 93 %, 155 MiB, 69.98 W
2024/01/08 10:17:44.732, Tesla T4, 2, 0 %, 9 MiB, 35.73 W
2024/01/08 10:17:44.737, Tesla T4, 3, 0 %, 9 MiB, 37.35 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:17:45.533, Tesla T4, 0, 60 %, 191 MiB, 77.78 W
2024/01/08 10:17:45.538, Tesla T4, 1, 94 %, 155 MiB, 70.22 W
2024/01/08 10:17:45.542, Tesla T4, 2, 0 %, 9 MiB, 35.82 W
2024/01/08 10:17:45.546, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:17:46.343, Tesla T4, 0, 63 %, 191 MiB, 40.82 W
2024/01/08 10:17:46.347, Tesla T4, 1, 89 %, 155 MiB, 69.98 W
2024/01/08 10:17:46.352, Tesla T4, 2, 0 %, 9 MiB, 35.63 W
2024/01/08 10:17:46.356, Tesla T4, 3, 0 %, 9 MiB, 37.45 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:17:47.166, Tesla T4, 0, 69 %, 191 MiB, 74.94 W
2024/01/08 10:17:47.171, Tesla T4, 1, 94 %, 155 MiB, 74.75 W
2024/01/08 10:17:47.175, Tesla T4, 2, 0 %, 9 MiB, 35.63 W
2024/01/08 10:17:47.183, Tesla T4, 3, 0 %, 9 MiB, 37.35 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:17:47.981, Tesla T4, 0, 61 %, 191 MiB, 39.10 W
2024/01/08 10:17:47.990, Tesla T4, 1, 89 %, 155 MiB, 69.88 W
2024/01/08 10:17:47.994, Tesla T4, 2, 0 %, 9 MiB, 35.55 W
2024/01/08 10:17:47.998, Tesla T4, 3, 0 %, 9 MiB, 37.35 W
