timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:31.189, Tesla T4, 0, 92 %, 191 MiB, 40.24 W
2024/01/08 11:00:31.195, Tesla T4, 1, 98 %, 155 MiB, 70.32 W
2024/01/08 11:00:31.199, Tesla T4, 2, 0 %, 9 MiB, 35.63 W
2024/01/08 11:00:31.204, Tesla T4, 3, 0 %, 9 MiB, 37.06 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:32.003, Tesla T4, 0, 77 %, 191 MiB, 52.51 W
2024/01/08 11:00:32.007, Tesla T4, 1, 98 %, 155 MiB, 70.61 W
2024/01/08 11:00:32.011, Tesla T4, 2, 0 %, 9 MiB, 35.63 W
2024/01/08 11:00:32.017, Tesla T4, 3, 0 %, 9 MiB, 37.16 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:32.820, Tesla T4, 0, 62 %, 191 MiB, 70.42 W
2024/01/08 11:00:32.828, Tesla T4, 1, 98 %, 155 MiB, 71.67 W
2024/01/08 11:00:32.836, Tesla T4, 2, 0 %, 9 MiB, 35.63 W
2024/01/08 11:00:32.840, Tesla T4, 3, 0 %, 9 MiB, 37.06 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:33.642, Tesla T4, 0, 54 %, 191 MiB, 71.33 W
2024/01/08 11:00:33.652, Tesla T4, 1, 100 %, 155 MiB, 70.90 W
2024/01/08 11:00:33.661, Tesla T4, 2, 0 %, 9 MiB, 35.53 W
2024/01/08 11:00:33.665, Tesla T4, 3, 0 %, 9 MiB, 37.06 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:34.464, Tesla T4, 0, 54 %, 191 MiB, 42.73 W
2024/01/08 11:00:34.468, Tesla T4, 1, 98 %, 155 MiB, 70.90 W
2024/01/08 11:00:34.472, Tesla T4, 2, 0 %, 9 MiB, 35.44 W
2024/01/08 11:00:34.477, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:35.276, Tesla T4, 0, 55 %, 191 MiB, 71.09 W
2024/01/08 11:00:35.284, Tesla T4, 1, 98 %, 155 MiB, 70.90 W
2024/01/08 11:00:35.290, Tesla T4, 2, 0 %, 9 MiB, 35.53 W
