latency,time,GPU1,GPU2
27.8808,12188.166,25.0254,26.3965
27.9776,12216.1436,25.0137,26.4864
27.8554,12243.999,25.0479,26.459
27.9024,12271.9014,25.0585,26.4267
29.5703,12301.4717,25.0449,26.4052
28.2783,12329.75,25.1143,26.5293
28.1436,12357.8936,25,26.4258
28.1572,12386.0508,25.0166,26.4716
28.1328,12414.1836,25.1182,26.4931
27.875,12442.0586,24.9775,26.3965
27.9424,12470.001,25.0283,26.4287
27.8008,12497.8018,24.9941,26.3887
27.8916,12525.6934,25.0107,26.3838
27.7822,12553.4756,25.04,26.3721
28.0117,12581.4873,25.0196,26.4307
27.9346,12609.4219,25.0284,26.4482
28.2412,12637.6631,24.9941,26.4844
27.8838,12665.5469,25.001,26.4023
28.2519,12693.7988,25.0117,26.3964
28.1104,12721.9092,24.9717,26.416
28.0888,12749.998,25.0098,26.4151
28.1368,12778.1348,25.0292,26.3682
28.083,12806.2178,24.9795,26.4336
28.1533,12834.3711,25.0068,26.4101
28.084,12862.4551,25.045,26.4356
28.0976,12890.5527,25.0488,26.3448
28.1123,12918.665,25.0411,26.4092
28.1289,12946.7939,25.0674,26.4697
28.169,12974.9629,25.0567,26.4297
28.1172,13003.0801,25.0049,26.4199
28.1533,13031.2334,25.0449,26.4034
28.0811,13059.3145,25.0332,26.4346
28.2148,13087.5293,25.0098,26.4785
28.1113,13115.6406,25.0254,26.3877
28.1436,13143.7842,25,26.4014
28.0674,13171.8516,25.039,26.3955
28.1552,13200.0068,25.0263,26.3555
28.2286,13228.2354,25.0859,26.4864
28.4667,13256.7021,24.9678,26.4522
28.2364,13284.9385,25.0303,26.4648
28.2617,13313.2002,25.2061,26.5693
28.5283,13341.7285,25.2471,26.7392
28.4375,13370.166,25.2705,26.7158
28.2412,13398.4072,25.127,26.5986
28.168,13426.5752,25.0586,26.4121
28.1494,13454.7246,25,26.3858
28.1123,13482.8369,25.0292,26.4336
30.0918,13512.9287,25.1679,26.542
27.9854,13540.9141,25.0645,26.3584
28,13568.9141,25.0098,26.4687
27.8623,13596.7764,25.0391,26.4189
27.914,13624.6904,25.041,26.5049
27.9639,13652.6543,25.0703,26.4755
28.2598,13680.9141,25.0254,26.4062
27.8515,13708.7656,25.1572,26.4326
27.9444,13736.71,25.0205,26.4287
27.8808,13764.5908,25.083,26.4277
27.9278,13792.5186,25.0264,26.4287
27.9248,13820.4434,25.0156,26.4063
27.915,13848.3584,25.0126,26.4219
27.9092,13876.2676,25.0987,26.4092
27.8545,13904.1221,24.9775,26.3838
27.8056,13931.9277,25.043,26.4023
27.8155,13959.7432,25.0322,26.4111
27.8779,13987.6211,25.0361,26.418
27.8955,14015.5166,25.0244,26.4326
27.8184,14043.335,25.0048,26.3457
28,14071.335,25.0928,26.4785
28.1064,14099.4414,25.0215,26.4278
27.9102,14127.3516,25.0449,26.4073
27.8505,14155.2021,25.0693,26.4443
27.8311,14183.0332,25.0723,26.3857
27.9346,14210.9678,24.9785,26.4561
27.8515,14238.8193,24.9687,26.4492
28.0078,14266.8271,25.0459,26.3818
27.8428,14294.6699,25.0195,26.3604
27.8613,14322.5312,25.082,26.4229
27.9092,14350.4404,25.1114,26.4102
27.8623,14378.3027,25.0283,26.4082
28.0118,14406.3145,25.0722,26.4571
27.8242,14434.1387,25.0859,26.3584
27.7832,14461.9219,25.0039,26.3437
28.4619,14490.3838,25.0596,26.3741
27.9219,14518.3057,25.0635,26.4277
27.8545,14546.1602,25.0205,26.3554
27.791,14573.9512,25.0381,26.4024
27.8427,14601.7939,25.0938,26.4024
27.9512,14629.7451,25.0742,26.4619
27.8916,14657.6367,24.9766,26.4277
27.833,14685.4697,25.039,26.3955
27.8692,14713.3389,25.0058,26.3896
27.9423,14741.2812,24.9912,26.4726
28.0655,14769.3467,25.0176,26.5225
27.876,14797.2227,25.0889,26.4209
27.8252,14825.0479,25.0127,26.4267
28.4023,14853.4502,24.9883,26.4844
27.9336,14881.3838,25.0293,26.497
27.8603,14909.2441,25.0899,26.4698
27.7745,14937.0186,25.0459,26.3897
28.0439,14965.0625,25.0518,26.5547
27.9531,14993.0156,25.0489,26.4932
27.9971,15021.0127,25.0332,26.4776
27.9014,15048.9141,25.0098,26.4531
28.332,15077.2461,24.9932,26.5039
27.8428,15105.0889,25.0097,26.4092
27.873,15132.9619,25.0596,26.418
27.8838,15160.8457,25.003,26.4424
27.9131,15188.7588,25.0351,26.4463
27.9365,15216.6953,25.0615,26.5234
27.8262,15244.5215,25.0381,26.3975
27.9482,15272.4697,25.0507,26.4356
29.1328,15301.6025,25.0371,26.4473
28.2032,15329.8057,24.9883,26.4356
28.2041,15358.0098,25.0537,26.4531
28.1552,15386.165,25.0683,26.418
28.2442,15414.4092,24.9658,26.5185
28.1426,15442.5518,25.0263,26.4131
29.4599,15472.0117,25.0869,26.4209
28.0654,15500.0771,25.0273,26.3769
27.9375,15528.0146,25.0439,26.4658
27.9424,15555.957,25.0693,26.4678
27.9971,15583.9541,25.0323,26.5108
28.6914,15612.6455,24.998,26.4307
27.8994,15640.5449,25.0606,26.4404
27.9317,15668.4766,25.1084,26.4278
28.0605,15696.5371,25.0234,26.5303
28.0186,15724.5557,25.0419,26.4795
27.955,15752.5107,25.0538,26.4511
28.0987,15780.6094,25.0234,26.6163
27.9463,15808.5557,25.0303,26.4707
27.8935,15836.4492,25.045,26.417
27.9932,15864.4424,25.0108,26.5
28.0107,15892.4531,25.0362,26.5253
27.8965,15920.3496,25.0166,26.4307
28.0156,15948.3652,25.0557,26.5264
28.0049,15976.3701,25.0186,26.5704
28.0059,16004.376,25.0859,26.5547
27.9092,16032.2852,25.1777,26.4629
28.1152,16060.4004,25.0459,26.4756
28.0508,16088.4512,25.0547,26.5391
28.0556,16116.5068,25.0488,26.5225
28.0606,16144.5674,25.0361,26.5039
28.001,16172.5684,25.0479,26.5117
32.9775,16205.5459,25.1074,26.5322
28.0449,16233.5908,25.0771,26.5107
27.9951,16261.5859,25.1084,26.4961
28.0723,16289.6582,25.0752,26.5508
27.9727,16317.6309,25.04,26.5186
27.9502,16345.5811,25.0654,26.4639
29.248,16374.8291,25.0234,26.5097
28.1768,16403.0059,25.1084,26.4902
28.2851,16431.291,24.9883,26.457
28.209,16459.5,25.0254,26.4961
29.7832,16489.2832,25.0683,26.5742
28.1934,16517.4766,25.2051,26.4687
27.9472,16545.4238,25.0703,26.498
27.9649,16573.3887,25.0312,26.5136
28.0254,16601.4141,25.0722,26.5391
29.2773,16630.6914,25.1816,26.541
28.4277,16659.1191,25.0059,26.498
28.0196,16687.1387,24.998,26.4531
