latency,time,GPU1,GPU2,fps,time_rel,,,,,,,,,
28.1826,8608.3135,25.6114,26.6338,35.4828866,1329.2364,,27.8941,5018.1094,25.1094,26.2529,35.84987506,1326.6568,,
28.0537,8636.3672,25.6074,26.3897,35.64592193,1357.2901,,28.6518,5046.7612,25.0322,27.0507,34.90182118,1355.3086,,
27.7432,8664.1104,25.3643,26.1357,36.04486865,1385.0333,,29.648,5076.4092,25.2651,26.8989,33.72908797,1384.9566,,
27.708,8691.8184,25.4053,26.169,36.09065974,1412.7413,,28.5757,5104.9849,25.1275,26.8882,34.99476828,1413.5323,,
28.3369,8720.1553,25.3183,26.835,35.2896753,1441.0782,,28.2866,5133.2715,25.0874,26.6709,35.35242836,1441.8189,,
28.3642,8748.5195,25.2168,26.8076,35.25570966,1469.4424,,28.4214,5161.6929,25.0523,26.7666,35.18475515,1470.2403,,
28.4561,8776.9756,25.1943,26.8174,35.14185008,1497.8985,,28.1294,5189.8223,25.0913,26.5117,35.54999396,1498.3697,,
28.1279,8805.1035,25.6962,26.6289,35.55188976,1526.0264,,27.8759,5217.6982,25.1118,26.2759,35.87328122,1526.2456,,
28.3233,8833.4268,25.6953,26.6347,35.30662034,1554.3497,,28.0396,5245.7378,25.1275,26.3282,35.66384685,1554.2852,,
28.0966,8861.5234,25.5469,26.4336,35.59149506,1582.4463,,28.6992,5274.437,25.0937,27.044,34.84417684,1582.9844,,
27.7881,8889.3115,25.459,26.1357,35.98662737,1610.2344,,28.7539,5303.1909,25.1792,27.0791,34.777891,1611.7383,,
27.7022,8917.0137,25.3496,26.0478,36.09821603,1637.9366,,28.459,5331.6499,25.0361,26.7939,35.13826909,1640.1973,,
28.5068,8945.5205,25.3242,26.7949,35.07934949,1666.4434,,28.4458,5360.0957,25.1401,26.7124,35.15457466,1668.6431,,
28.3223,8973.8428,25.1485,26.833,35.30786695,1694.7657,,28.4009,5388.4966,25.1001,26.7514,35.21015179,1697.044,,
28.4238,9002.2666,25.1934,26.7071,35.18178428,1723.1895,,28,5416.4966,25.1778,26.4229,35.71428571,1725.044,,
28.1709,9030.4375,25.6192,26.5274,35.49762343,1751.3604,,27.7388,5444.2354,25.1113,26.2315,36.05058618,1752.7828,,
28.2744,9058.7119,25.6856,26.6269,35.36768243,1779.6348,,27.8701,5472.1055,25.0347,26.3071,35.88074675,1780.6529,,
27.9824,9086.6943,25.7207,26.4355,35.73674881,1807.6172,,28.5981,5500.7036,25.0479,26.9273,34.96735797,1809.251,,
27.8135,9114.5078,25.3672,26.2041,35.95376346,1835.4307,,28.4507,5529.1543,25.2803,26.916,35.14852007,1837.7017,,
28.4785,9142.9863,25.4307,26.8282,35.11420896,1863.9092,,29.0083,5558.1626,25.0279,26.7515,34.47289224,1866.71,,
28.4873,9171.4736,25.2647,26.8828,35.10336185,1892.3965,,28.4102,5586.5728,25.1113,26.8062,35.19862585,1895.1202,,
28.2842,9199.7578,25.0928,26.6601,35.35542812,1920.6807,,28.3432,5614.916,25.1436,26.7813,35.28183127,1923.4634,,
28.1983,9227.9561,25.1172,26.6318,35.46313076,1948.879,,28.0571,5642.9731,25.0938,26.4936,35.6416023,1951.5205,,
28.163,9256.1191,25.6016,26.5302,35.50758087,1977.042,,27.8091,5670.7822,25.1186,26.2544,35.95945212,1979.3296,,
28.0401,9284.1592,25.6191,26.3741,35.6632109,2005.0821,,27.8638,5698.646,25.1084,26.3535,35.88885938,2007.1934,,
28.4326,9312.5918,25.5909,26.7315,35.17089538,2033.5147,,27.897,5726.543,25.0791,26.2637,35.84614833,2035.0904,,
28.5732,9341.165,25.3818,26.8701,34.99783013,2062.0879,,28.4341,5754.9771,25.0811,26.9312,35.16903999,2063.5245,,
28.5391,9369.7041,25.3789,26.6133,35.03964736,2090.627,,28.5317,5783.5088,25.2315,26.9463,35.04873527,2092.0562,,
28.4609,9398.165,25.2353,26.5703,35.13592332,2119.0879,,28.3164,5811.8252,25.2631,26.8062,35.31522369,2120.3726,,
28.2403,9426.4053,25.1202,26.5361,35.4103887,2147.3282,,28.4097,5840.2349,25.0898,26.773,35.19924533,2148.7823,,
28.082,9454.4873,25.1025,26.3946,35.60999929,2175.4102,,28.3379,5868.5728,25.0625,26.7032,35.28842998,2177.1202,,
28.2793,9482.7666,25.8047,26.6338,35.36155421,2203.6895,,28.2285,5896.8013,25.1636,26.5347,35.42519085,2205.3487,,
28.5869,9511.3535,25.5537,26.8946,34.98105776,2232.2764,,27.9697,5924.771,25.3042,26.2285,35.75297554,2233.3184,,
28.2471,9539.6006,25.5235,26.6885,35.40186426,2260.5235,,27.9819,5952.7529,25.3608,26.2949,35.73738738,2261.3003,,
28.081,9567.6816,25.3261,26.4756,35.61126741,2288.6045,,28.5591,5981.312,25.2422,26.8852,35.01510902,2289.8594,,
28.1944,9595.876,25.4356,26.5889,35.46803621,2316.7989,,28.5293,6009.8413,25.0654,26.8892,35.05168371,2318.3887,,
28.0381,9623.9141,25.2305,26.4502,35.66575481,2344.837,,28.2925,6038.1338,25.084,26.7017,35.34505611,2346.6812,,
28.0058,9651.9199,25.207,26.336,35.70688929,2372.8428,,28.4731,6066.6069,25.1665,26.7197,35.12086847,2375.1543,,
28.3955,9680.3154,25.0762,26.7471,35.21684774,2401.2383,,28.7159,6095.3228,25.0923,26.6333,34.82391288,2403.8702,,
28.4961,9708.8115,25.6914,26.8222,35.09252143,2429.7344,,28.0327,6123.3555,25.2632,26.4926,35.67262518,2431.9029,,
28.3262,9737.1377,25.5224,26.6749,35.3030057,2458.0606,,27.9189,6151.2744,25.2671,26.3472,35.81803008,2459.8218,,
28.1006,9765.2383,25.4228,26.5244,35.58642876,2486.1612,,27.7046,6178.979,25.2095,26.1704,36.0950889,2487.5264,,
28.1328,9793.3711,25.4316,26.5762,35.54569755,2514.294,,28.4487,6207.4277,25.1822,26.7392,35.15099108,2515.9751,,
27.9814,9821.3525,25.3848,26.3223,35.73802597,2542.2754,,28.4649,6235.8926,25.1714,26.9175,35.13098588,2544.44,,
28.3057,9849.6582,25.3242,26.7734,35.3285734,2570.5811,,28.3369,6264.2295,25.144,26.6694,35.2896753,2572.7769,,
28.4082,9878.0664,25.1201,26.7481,35.20110391,2598.9893,,28.2217,6292.4512,25.2666,26.5996,35.43372653,2600.9986,,
28.3945,9906.4609,25.2539,26.7178,35.21808801,2627.3838,,28.4077,6320.8589,25.1387,26.7871,35.20172348,2629.4063,,
28.211,9934.6719,25.7177,26.6299,35.447166,2655.5948,,28.2685,6349.1274,25.2065,26.6069,35.37506412,2657.6748,,
28.1582,9962.8301,25.5967,26.5957,35.51363368,2683.753,,27.7154,6376.8428,25.3179,26.1626,36.08102355,2685.3902,,
28.0097,9990.8398,25.4453,26.3828,35.70191755,2711.7627,,27.7217,6404.5645,25.2514,26.2281,36.07282382,2713.1119,,
27.9541,10018.7939,25.2989,26.3584,35.77292776,2739.7168,,28.4951,6433.0596,25.1684,26.9043,35.09375296,2741.607,,
28.5547,10047.3486,25.4326,26.9268,35.02050451,2768.2715,,28.4643,6461.5239,25.2714,26.8647,35.13172641,2770.0713,,
28.3887,10075.7373,25.3701,26.8838,35.2252833,2796.6602,,28.4068,6489.9307,25.1538,26.6812,35.20283876,2798.4781,,
28.3291,10104.0664,25.2539,26.7285,35.29939179,2824.9893,,28.3637,6518.2944,25.121,26.6621,35.25633116,2826.8418,,
28.1221,10132.1885,25.2412,26.623,35.55922211,2853.1114,,28.1538,6546.4482,25.1763,26.6123,35.51918391,2854.9956,,
28.2549,10160.4434,25.1884,26.6279,35.39209128,2881.3663,,27.9468,6574.395,25.1377,26.3833,35.78227203,2882.9424,,
27.833,10188.2764,25.1416,26.2168,35.92857399,2909.1993,,27.6983,6602.0933,25.4892,26.1441,36.10329876,2910.6407,,
27.54,10215.8164,25.1192,26.0303,36.31082062,2936.7393,,27.8618,6629.9551,25.769,26.2568,35.89143559,2938.5025,,
27.8213,10243.6377,25.6084,26.3057,35.94368344,2964.5606,,28.4863,6658.4414,25.5811,26.8818,35.10459414,2966.9888,,
28.4707,10272.1084,25.5527,26.8047,35.12382906,2993.0313,,28.3887,6686.8301,25.3975,26.8418,35.2252833,2995.3775,,
28.2812,10300.3896,25.46,26.8066,35.35917854,3021.3125,,28.4419,6715.272,25.4361,26.7637,35.15939512,3023.8194,,
28.2735,10328.6631,25.3955,26.6768,35.36880825,3049.586,,28.2715,6743.5435,25.3369,26.5908,35.37131033,3052.0909,,
28.1611,10356.8242,25.3692,26.5918,35.50997653,3077.7471,,28.1684,6771.7119,25.1294,26.6464,35.50077392,3080.2593,,
28.2793,10385.1035,25.5186,26.5928,35.36155421,3106.0264,,27.9795,6799.6914,25.2266,26.3321,35.74045283,3108.2388,,
28.084,10413.1875,25.1914,26.3642,35.60746332,3134.1104,,27.6773,6827.3687,25.6934,26.0723,36.13069194,3135.9161,,
28.5488,10441.7363,25.1572,26.876,35.02774197,3162.6592,,27.9096,6855.2783,25.6831,26.2222,35.82996532,3163.8257,,
28.5586,10470.2949,25.6397,26.8389,35.01572206,3191.2178,,28.5987,6883.877,25.4658,26.8594,34.96662436,3192.4244,,
28.3106,10498.6055,25.6338,26.667,35.32245873,3219.5284,,28.496,6912.373,25.3925,26.9174,35.09264458,3220.9204,,
28.2558,10526.8613,25.4355,26.6211,35.39096398,3247.7842,,28.2481,6940.6211,25.4654,26.7168,35.40061101,3249.1685,,
28.2168,10555.0781,25.4395,26.6387,35.43987979,3276.001,,28.292,6968.9131,25.3242,26.6622,35.34568076,3277.4605,,
27.9199,10582.998,25.3438,26.2988,35.81674719,3303.9209,,28.4214,6997.3345,25.083,26.6855,35.18475515,3305.8819,,
28.4004,10611.3984,25.3018,26.7706,35.21077168,3332.3213,,28.0005,7025.335,25.1611,26.4301,35.71364797,3333.8824,,
28.4444,10639.8428,25.084,26.8506,35.15630493,3360.7657,,27.7402,7053.0752,25.6011,26.17,36.04876677,3361.6226,,
28.3828,10668.2256,25.2051,26.7177,35.23260566,3389.1485,,27.7695,7080.8447,25.7447,26.1563,36.0107312,3389.3921,,
28.2344,10696.46,25.6563,26.623,35.41778823,3417.3829,,28.4668,7109.3115,25.4703,26.8062,35.12864108,3417.8589,,
28.081,10724.541,25.7373,26.5782,35.61126741,3445.4639,,28.4126,7137.7241,25.3545,26.7886,35.19565263,3446.2715,,
27.9873,10752.5283,25.4111,26.4502,35.73049204,3473.4512,,28.3599,7166.084,25.4214,26.647,35.26105522,3474.6314,,
27.8926,10780.4209,25.3027,26.2364,35.85180299,3501.3438,,28.2265,7194.3105,25.232,26.5195,35.42770092,3502.8579,,
28.3379,10808.7588,25.4346,26.7881,35.28842998,3529.6817,,28.292,7222.6025,25.0845,26.5933,35.34568076,3531.1499,,
28.456,10837.2148,25.2969,26.8233,35.14197357,3558.1377,,28.1021,7250.7046,25.143,26.4336,35.58452927,3559.252,,
28.3282,10865.543,25.2842,26.668,35.30051327,3586.4659,,,,,,,,,
28.2275,10893.7705,25.1856,26.5644,35.42644584,3614.6934,,,,,,,,,
28.2012,10921.9717,25.6455,26.544,35.45948399,3642.8946,,,,,,,,,
28.0176,10949.9893,25.7305,26.3369,35.69185084,3670.9122,,,,,,,,,
28.2412,10978.2305,25.5108,26.7012,35.40926023,3699.1534,,,,,,,,,
28.4238,11006.6543,25.4394,26.8467,35.18178428,3727.5772,,,,,,,,,
28.2031,11034.8574,25.5029,26.5869,35.45709514,3755.7803,,,,,,,,,
28.2051,11063.0625,25.2872,26.4922,35.45458091,3783.9854,,,,,,,,,
28.4063,11091.4688,25.2315,26.7226,35.20345839,3812.3917,,,,,,,,,
27.8974,11119.3662,25.0781,26.3154,35.84563436,3840.2891,,,,,,,,,
28.3359,11147.7021,25.5811,26.7305,35.2909207,3868.625,,,,,,,,,
28.5704,11176.2725,25.5518,26.9121,35.00126005,3897.1954,,,,,,,,,
28.3056,11204.5781,25.4492,26.7598,35.32869821,3925.501,,,,,,,,,
28.2315,11232.8096,25.4502,26.665,35.42142642,3953.7325,,,,,,,,,
28.1816,11260.9912,25.4189,26.585,35.48414568,3981.9141,,,,,,,,,
28.0381,11289.0293,25.253,26.417,35.66575481,4009.9522,,,,,,,,,
27.708,11316.7373,25.0547,26.2032,36.09065974,4037.6602,,,,,,,,,
28.4932,11345.2305,25.2187,26.8818,35.0960931,4066.1534,,,,,,,,,
28.5009,11373.7314,25.752,26.8174,35.0866113,4094.6543,,,,,,,,,
28.2911,11402.0225,25.6494,26.582,35.34680518,4122.9454,,,,,,,,,
28.3574,11430.3799,25.5215,26.5567,35.26416385,4151.3028,,,,,,,,,
28.3818,11458.7617,25.3252,26.5674,35.23384704,4179.6846,,,,,,,,,
27.8731,11486.6348,25.3926,26.3126,35.87688488,4207.5577,,,,,,,,,
28.5634,11515.1982,25.3223,26.8867,35.00983776,4236.1211,,,,,,,,,
28.2969,11543.4951,25.1319,26.75,35.33956016,4264.418,,,,,,,,,
28.3487,11571.8438,25.1904,26.6972,35.27498615,4292.7667,,,,,,,,,
28.2402,11600.084,25.1299,26.5791,35.41051409,4321.0069,,,,,,,,,
28.5107,11628.5947,25.2226,26.5273,35.07455096,4349.5176,,,,,,,,,
28.085,11656.6797,25.1778,26.4179,35.60619548,4377.6026,,,,,,,,,
28.043,11684.7227,25.753,26.3867,35.65952288,4405.6456,,,,,,,,,
28.3115,11713.0342,25.7413,26.8115,35.32133585,4433.9571,,,,,,,,,
28.5097,11741.5439,25.4034,26.8828,35.07578123,4462.4668,,,,,,,,,
28.2872,11769.8311,25.3701,26.5986,35.3516785,4490.754,,,,,,,,,
28.1455,11797.9766,25.4375,26.6103,35.52965838,4518.8995,,,,,,,,,
28.2119,11826.1885,25.3466,26.5517,35.44603518,4547.1114,,,,,,,,,
27.9687,11854.1572,25.0996,26.3457,35.75425386,4575.0801,,,,,,,,,
28.4014,11882.5586,25.0948,26.7832,35.20953192,4603.4815,,,,,,,,,
28.5166,11911.0752,25.5479,26.8457,35.06729414,4631.9981,,,,,,,,,
28.667,11939.7422,25.7715,26.5986,34.88331531,4660.6651,,,,,,,,,
28.3223,11968.0645,25.3672,26.6465,35.30786695,4688.9874,,,,,,,,,
28.163,11996.2275,25.334,26.5166,35.50758087,4717.1504,,,,,,,,,
27.9395,12024.167,25.3867,26.2989,35.79162118,4745.0899,,,,,,,,,
28.5264,12052.6934,25.2569,26.8623,35.05524707,4773.6163,,,,,,,,,
28.5283,12081.2217,25.252,26.8428,35.05291237,4802.1446,,,,,,,,,
28.7744,12109.9961,25.1562,26.668,34.75311388,4830.919,,,,,,,,,
28.2432,12138.2393,25.2627,26.5684,35.40675278,4859.1622,,,,,,,,,
28.2295,12166.4688,25.2598,26.6064,35.42393595,4887.3917,,,,,,,,,
28.4775,12194.9463,25.2198,26.4639,35.11544202,4915.8692,,,,,,,,,
28.1943,12223.1406,25.3565,26.5781,35.468162,4944.0635,,,,,,,,,
28.2256,12251.3662,25.4063,26.6269,35.42883057,4972.2891,,,,,,,,,
28.0772,12279.4434,25.3066,26.4531,35.61608707,5000.3663,,,,,,,,,
27.8916,12307.335,25.6582,26.2539,35.85308839,5028.2579,,,,,,,,,
28.458,12335.793,25.5811,26.8633,35.13950383,5056.7159,,,,,,,,,
28.3672,12364.1602,25.5146,26.7783,35.25198116,5085.0831,,,,,,,,,
28.2724,12392.4326,25.3799,26.6416,35.37018435,5113.3555,,,,,,,,,
28.3164,12420.749,25.3682,26.751,35.31522369,5141.6719,,,,,,,,,
28.208,12448.957,25.2783,26.6406,35.4509359,5169.8799,,,,,,,,,
27.9463,12476.9033,25.1641,26.3242,35.78291223,5197.8262,,,,,,,,,
28.4912,12505.3945,25.0928,26.8213,35.09855675,5226.3174,,,,,,,,,
28.3809,12533.7754,25.543,26.8037,35.23496436,5254.6983,,,,,,,,,
28.1865,12561.9619,25.6758,26.626,35.47797705,5282.8848,,,,,,,,,
28.7188,12590.6807,25.4942,26.5947,34.8203964,5311.6036,,,,,,,,,
28.2168,12618.8975,25.4785,26.5283,35.43987979,5339.8204,,,,,,,,,
27.9365,12646.834,25.4599,26.2949,35.79546471,5367.7569,,,,,,,,,
28.4853,12675.3193,25.3096,26.7744,35.10582651,5396.2422,,,,,,,,,
28.4092,12703.7285,25.1475,26.8476,35.19986483,5424.6514,,,,,,,,,
28.375,12732.1035,25.1992,26.749,35.24229075,5453.0264,,,,,,,,,
28.2158,12760.3193,25.6641,26.5009,35.44113582,5481.2422,,,,,,,,,
28.3194,12788.6387,25.6055,26.6592,35.31148259,5509.5616,,,,,,,,,
28.2412,12816.8799,25.5323,26.5381,35.40926023,5537.8028,,,,,,,,,
27.7314,12844.6113,25.4248,26.1915,36.06020612,5565.5342,,,,,,,,,
28.4483,12873.0596,25.3565,26.8154,35.15148533,5593.9825,,,,,,,,,
28.455,12901.5146,25.376,26.8409,35.14320857,5622.4375,,,,,,,,,
28.336,12929.8506,25.1865,26.665,35.29079616,5650.7735,,,,,,,,,
28.1221,12957.9727,25.1895,26.5,35.55922211,5678.8956,,,,,,,,,
28.291,12986.2637,25.6601,26.5342,35.34693012,5707.1866,,,,,,,,,
28.0449,13014.3086,25.6016,26.3799,35.657107,5735.2315,,,,,,,,,
28.6279,13042.9365,25.5557,26.8789,34.93095896,5763.8594,,,,,,,,,
28.541,13071.4775,25.3321,26.7998,35.03731474,5792.4004,,,,,,,,,
28.334,13099.8115,25.4121,26.709,35.29328722,5820.7344,,,,,,,,,
28.3115,13128.123,25.1748,26.7071,35.32133585,5849.0459,,,,,,,,,
28.0791,13156.2021,25.5039,26.4688,35.61367708,5877.125,,,,,,,,,
27.9786,13184.1807,25.5792,26.2285,35.74160251,5905.1036,,,,,,,,,
28.4755,13212.6562,25.5059,26.8272,35.11790838,5933.5791,,,,,,,,,
28.4786,13241.1348,25.3554,26.8037,35.11408566,5962.0577,,,,,,,,,
28.4052,13269.54,25.3808,26.6972,35.20482165,5990.4629,,,,,,,,,
28.3955,13297.9355,25.3467,26.6992,35.21684774,6018.8584,,,,,,,,,
28.21,13326.1455,25.2255,26.6259,35.44842255,6047.0684,,,,,,,,,
27.9531,13354.0986,25.2051,26.2989,35.77420751,6075.0215,,,,,,,,,
27.8799,13381.9785,25.6094,26.2646,35.86813439,6102.9014,,,,,,,,,
28.3779,13410.3564,25.6592,26.7696,35.23868926,6131.2793,,,,,,,,,
29.8877,13440.2441,25.7373,26.8867,33.45857995,6161.167,,,,,,,,,
28.2032,13468.4473,25.4795,26.6396,35.45696942,6189.3702,,,,,,,,,
28.373,13496.8203,25.4609,26.6513,35.24477496,6217.7432,,,,,,,,,
28.1621,13524.9824,25.376,26.4941,35.50871561,6245.9053,,,,,,,,,
27.9405,13552.9229,25.294,26.337,35.79034019,6273.8458,,,,,,,,,
28.5644,13581.4873,25.4219,26.8926,35.00861212,6302.4102,,,,,,,,,
28.5147,13610.002,25.6241,26.7949,35.06963075,6330.9249,,,,,,,,,
28.4267,13638.4287,25.5547,26.6905,35.17819515,6359.3516,,,,,,,,,
28.3584,13666.7871,25.4522,26.625,35.26292033,6387.71,,,,,,,,,
28.1836,13694.9707,25.4414,26.5322,35.48162761,6415.8936,,,,,,,,,
28.334,13723.3047,25.295,26.2627,35.29328722,6444.2276,,,,,,,,,
28.4814,13751.7861,25.2813,26.7793,35.11063361,6472.709,,,,,,,,,
28.4639,13780.25,25.1836,26.7979,35.13222011,6501.1729,,,,,,,,,
28.2979,13808.5479,25.0771,26.7207,35.33831132,6529.4708,,,,,,,,,
28.6933,13837.2412,25.5713,26.6533,34.8513416,6558.1641,,,,,,,,,
28.3262,13865.5674,25.7168,26.583,35.3030057,6586.4903,,,,,,,,,
28.2168,13893.7842,25.5664,26.4746,35.43987979,6614.7071,,,,,,,,,
28.4043,13922.1885,25.3994,26.7764,35.20593713,6643.1114,,,,,,,,,
28.5586,13950.7471,25.4873,26.8711,35.01572206,6671.67,,,,,,,,,
28.4394,13979.1865,25.3574,26.7461,35.16248585,6700.1094,,,,,,,,,
28.3242,14007.5107,25.5967,26.6328,35.30549848,6728.4336,,,,,,,,,
28.2002,14035.7109,25.6328,26.5137,35.46074141,6756.6338,,,,,,,,,
28.1631,14063.874,25.4913,26.419,35.50745479,6784.7969,,,,,,,,,
28.0537,14091.9277,25.3633,26.3418,35.64592193,6812.8506,,,,,,,,,
28.3321,14120.2598,25.3702,26.7471,35.29565405,6841.1827,,,,,,,,,
28.3779,14148.6377,25.3584,26.8047,35.23868926,6869.5606,,,,,,,,,
28.3672,14177.0049,25.1201,26.6513,35.25198116,6897.9278,,,,,,,,,
28.1806,14205.1855,25.1817,26.5039,35.48540485,6926.1084,,,,,,,,,
28.2745,14233.46,25.627,26.6426,35.36755734,6954.3829,,,,,,,,,
27.998,14261.458,25.7002,26.332,35.71683692,6982.3809,,,,,,,,,
28.4746,14289.9326,25.582,26.8085,35.11901835,7010.8555,,,,,,,,,
28.3887,14318.3213,25.6201,26.7832,35.2252833,7039.2442,,,,,,,,,
28.3125,14346.6338,25.6309,26.7676,35.3200883,7067.5567,,,,,,,,,
28.3193,14374.9531,25.5254,26.5752,35.31160728,7095.876,,,,,,,,,
28.2705,14403.2236,25.4795,26.6142,35.3725615,7124.1465,,,,,,,,,
27.9785,14431.2021,25.4072,26.3193,35.74173026,7152.125,,,,,,,,,
28.4307,14459.6328,25.7197,26.6807,35.17324582,7180.5557,,,,,,,,,
28.624,14488.2568,25.5634,26.8535,34.93571828,7209.1797,,,,,,,,,
