latency,time,GPU1,GPU2,GPU3,GPU4,fps,time_rel,,,,,,,,,
17.5322,14021.625,13.0684,12.5703,12.8135,13.8984,57.03790739,612.9775,,15.7646,6155.5366,13.169,12.4506,12.7695,14.0084,63.43326187,596.7632
17.1934,14038.8184,13.0478,12.541,12.6709,13.8584,58.1618528,630.1709,,15.9488,6171.4854,13.0469,12.5146,12.8506,14.1772,62.70064205,612.712
16.5166,14055.335,13.2022,12.5986,12.7265,13.8477,60.54514852,646.6875,,16.0346,6187.52,13.0898,12.4624,12.7705,14.2192,62.36513539,628.7466
16.0107,14071.3457,13,12.5948,12.7403,13.9219,62.45823106,662.6982,,16.0396,6203.5596,13.0264,12.4624,12.8428,14.1347,62.34569441,644.7862
16.0498,14087.3955,13.0341,12.4824,12.7452,14.1211,62.30607235,678.748,,16.0361,6219.5957,13.0484,12.4585,12.7675,14.1709,62.35930183,660.8223
16.0899,14103.4854,13.0703,12.5352,12.8261,14.1806,62.15079025,694.8379,,16.4561,6236.0518,13.0889,12.5025,12.8086,14.1533,60.76773962,677.2784
16.2919,14119.7773,13.0987,12.5469,12.7217,14.2783,61.38019507,711.1298,,15.8066,6251.8584,12.9741,12.4492,12.7783,14.0737,63.26471221,693.085
16.1192,14135.8965,13.1582,12.5079,12.7285,14.0948,62.03781825,727.249,,16.02,6267.8784,13.0923,12.4106,12.7006,14.1723,62.42197253,709.105
16.165,14152.0615,13.0918,12.4873,12.793,14.1045,61.86204763,743.414,,17.7505,6285.6289,12.9804,12.5137,12.7456,14.0581,56.33644123,726.8555
16.1465,14168.208,13.1533,12.5527,12.7549,14.0488,61.93292664,759.5605,,16.1821,6301.811,13.0948,12.4204,12.7457,14.1001,61.79667657,743.0376
16.0059,14184.2139,13.0293,12.5274,12.7871,14.0166,62.47696162,775.5664,,16.3804,6318.1914,13.1567,12.4732,12.8291,13.9703,61.04857024,759.418
16.0732,14200.2871,13.081,12.5479,12.6416,13.9833,62.21536471,791.6396,,15.7578,6333.9492,13.2124,12.4482,12.7397,13.9312,63.46063537,775.1758
16.0127,14216.2998,13.0351,12.5791,12.7803,14.0283,62.45042997,807.6523,,15.8882,6349.8374,13.0655,12.4575,12.7491,13.9878,62.9397918,791.064
16.5176,14232.8174,13.0527,12.5,12.8135,14.0322,60.54148302,824.1699,,16.2441,6366.0815,13.1152,12.4389,12.7681,13.8769,61.56081285,807.3081
16.9472,14249.7646,13.1074,12.4912,12.793,13.9746,59.00679758,841.1171,,16.3638,6382.4453,13.063,12.4609,12.8257,13.9312,61.11050001,823.6719
18.9268,14268.6914,13.0547,12.583,12.7822,13.8437,52.83513325,860.0439,,15.7402,6398.1855,13.0562,12.4531,12.753,13.9502,63.53159426,839.4121
15.7529,14284.4443,13.1259,12.4951,12.7578,13.833,63.48037504,875.7968,,15.7828,6413.9683,13.0567,12.4922,12.7495,13.8755,63.36011354,855.1949
17.334,14301.7783,13.1153,12.5527,12.75,13.9522,57.69008884,893.1308,,15.9917,6429.96,13.0747,12.4892,12.7915,14.165,62.5324387,871.1866
16.2403,14318.0186,13.0733,12.6026,12.833,13.9629,61.57521721,909.3711,,16.1152,6446.0752,12.9898,12.4311,12.8267,14.1738,62.05321684,887.3018
16.1484,14334.167,13.1396,12.5381,12.6865,13.9932,61.92563969,925.5195,,15.9346,6462.0098,13.0244,12.436,12.8759,14.2109,62.75651726,903.2364
15.8623,14350.0293,13.1845,12.4942,12.7881,13.9111,63.04256003,941.3818,,16.0322,6478.042,12.9995,12.4351,12.7383,14.2891,62.37447138,919.2686
21.3174,14371.3467,13.0351,12.5596,12.8281,13.8428,46.91003593,962.6992,,16.1919,6494.2339,13.0004,12.4649,12.7256,14.2139,61.7592747,935.4605
16.667,14388.0137,13.0508,12.5361,12.751,13.9375,59.99880002,979.3662,,15.8603,6510.0942,13.1337,12.438,12.7251,14.0888,63.05050976,951.3208
16.5156,14404.5293,13.0761,12.5664,12.7754,13.8282,60.54881445,995.8818,,15.7803,6525.8745,13.1074,12.5068,12.6719,14.0366,63.37015139,967.1011
