latency,time,GPU1,GPU2,GPU3,GPU4,fps,time_rel,,,,,,,,,
16.5117,8133.2246,13.1284,12.5684,12.8276,14.0112,60.56311585,614.8667,,15.7403,5569.5186,13.0058,12.5356,12.792,13.8398,63.53119064,599.6138
15.7647,8148.9893,13.0742,12.5484,12.771,13.9409,63.43285949,630.6314,,18.7109,5588.2295,13.0606,12.5747,12.8247,13.8672,53.44478352,618.3247
16.165,8165.1543,13.1645,12.5332,12.8134,14.0776,61.86204763,646.7964,,15.7515,5603.981,12.9927,12.5678,12.7935,13.7929,63.4860172,634.0762
16.0659,8181.2202,13.1684,12.5528,12.7608,13.9892,62.24363403,662.8623,,16.7954,5620.7764,13.0283,12.544,12.7046,13.8872,59.54011217,650.8716
16.1675,8197.3877,13.1143,12.6621,12.8726,13.9693,61.85248183,679.0298,,19.0088,5639.7852,13.0533,12.5411,12.8599,13.8642,52.6072135,669.8804
16.0908,8213.4785,13.1562,12.7119,12.9043,14.0596,62.14731399,695.1206,,15.8613,5655.6465,13.0098,12.5473,12.8316,13.9165,63.04653465,685.7417
15.9707,8229.4492,13.0967,12.5791,12.7725,14.0157,62.6146631,711.0913,,15.6802,5671.3267,13.0268,12.5298,12.7695,13.8365,63.77469675,701.4219
15.9658,8245.415,13.0938,12.5693,12.8671,13.9111,62.63387992,727.0571,,15.7431,5687.0698,12.9892,12.5889,12.8433,13.8535,63.51989125,717.165
16.0098,8261.4248,13.0654,12.5567,12.7266,13.9551,62.46174218,743.0669,,16.0391,5703.1089,13.0289,12.5253,12.7871,13.9341,62.34763796,733.2041
16.0879,8277.5127,13.0312,12.6328,12.7187,13.9892,62.15851665,759.1548,,16.9194,5720.0283,13.0591,12.5898,12.7842,13.8628,59.10375072,750.1235
16.3643,8293.877,13.0186,12.6211,12.7647,14.0547,61.10863282,775.5191,,16.9263,5736.9546,12.9868,12.584,12.8476,13.9253,59.0796571,767.0498
15.9892,8309.8662,13.1016,12.5888,12.7636,13.917,62.542216,791.5083,,15.8633,5752.8179,13.0214,12.5596,12.7173,13.9385,63.03858592,782.9131
16.0606,8325.9268,13.1231,12.5733,12.8173,14.0039,62.26417444,807.5689,,15.8315,5768.6494,12.9946,12.5293,12.811,13.8911,63.1652086,798.7446
16.0732,8342,13.1572,12.5732,12.7647,13.9444,62.21536471,823.6421,,15.9292,5784.5786,13.0127,12.5235,12.8266,13.9844,62.77779173,814.6738
