timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:24.555, Tesla T4, 0, 0 %, 154 MiB, 39.00 W
2024/01/08 10:29:24.559, Tesla T4, 1, 0 %, 118 MiB, 35.73 W
2024/01/08 10:29:24.564, Tesla T4, 2, 0 %, 118 MiB, 36.31 W
2024/01/08 10:29:24.568, Tesla T4, 3, 0 %, 118 MiB, 37.94 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:25.370, Tesla T4, 0, 34 %, 191 MiB, 41.21 W
2024/01/08 10:29:25.374, Tesla T4, 1, 62 %, 155 MiB, 54.45 W
2024/01/08 10:29:25.378, Tesla T4, 2, 77 %, 155 MiB, 49.77 W
2024/01/08 10:29:25.385, Tesla T4, 3, 52 %, 155 MiB, 42.93 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:26.195, Tesla T4, 0, 34 %, 191 MiB, 48.00 W
2024/01/08 10:29:26.199, Tesla T4, 1, 60 %, 155 MiB, 73.26 W
2024/01/08 10:29:26.203, Tesla T4, 2, 77 %, 155 MiB, 76.67 W
2024/01/08 10:29:26.211, Tesla T4, 3, 55 %, 155 MiB, 60.52 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:27.019, Tesla T4, 0, 31 %, 191 MiB, 64.24 W
2024/01/08 10:29:27.023, Tesla T4, 1, 61 %, 155 MiB, 61.58 W
2024/01/08 10:29:27.028, Tesla T4, 2, 78 %, 155 MiB, 73.21 W
2024/01/08 10:29:27.036, Tesla T4, 3, 54 %, 155 MiB, 71.67 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:27.841, Tesla T4, 0, 33 %, 191 MiB, 43.02 W
2024/01/08 10:29:27.845, Tesla T4, 1, 62 %, 155 MiB, 54.45 W
2024/01/08 10:29:27.850, Tesla T4, 2, 77 %, 155 MiB, 56.15 W
2024/01/08 10:29:27.854, Tesla T4, 3, 52 %, 155 MiB, 42.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:28.659, Tesla T4, 0, 34 %, 191 MiB, 62.70 W
2024/01/08 10:29:28.663, Tesla T4, 1, 59 %, 155 MiB, 71.82 W
2024/01/08 10:29:28.671, Tesla T4, 2, 77 %, 155 MiB, 75.28 W
2024/01/08 10:29:28.675, Tesla T4, 3, 55 %, 155 MiB, 68.30 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:29.481, Tesla T4, 0, 34 %, 191 MiB, 42.47 W
2024/01/08 10:29:29.486, Tesla T4, 1, 62 %, 155 MiB, 43.60 W
2024/01/08 10:29:29.490, Tesla T4, 2, 77 %, 155 MiB, 67.96 W
2024/01/08 10:29:29.495, Tesla T4, 3, 54 %, 155 MiB, 58.20 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:30.302, Tesla T4, 0, 34 %, 191 MiB, 42.08 W
2024/01/08 10:29:30.306, Tesla T4, 1, 63 %, 155 MiB, 57.47 W
2024/01/08 10:29:30.310, Tesla T4, 2, 81 %, 155 MiB, 73.40 W
2024/01/08 10:29:30.321, Tesla T4, 3, 57 %, 155 MiB, 68.16 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:31.126, Tesla T4, 0, 34 %, 191 MiB, 43.41 W
2024/01/08 10:29:31.130, Tesla T4, 1, 63 %, 155 MiB, 54.03 W
2024/01/08 10:29:31.135, Tesla T4, 2, 81 %, 155 MiB, 72.63 W
2024/01/08 10:29:31.139, Tesla T4, 3, 55 %, 155 MiB, 62.60 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 10:29:31.945, Tesla T4, 0, 34 %, 191 MiB, 57.95 W
