timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:01:59.563, Tesla T4, 0, 1 %, 154 MiB, 39.88 W
2024/01/08 11:01:59.567, Tesla T4, 1, 1 %, 118 MiB, 36.89 W
2024/01/08 11:01:59.571, Tesla T4, 2, 1 %, 118 MiB, 35.75 W
2024/01/08 11:01:59.575, Tesla T4, 3, 1 %, 118 MiB, 37.16 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:02:00.377, Tesla T4, 0, 0 %, 154 MiB, 39.97 W
2024/01/08 11:02:00.381, Tesla T4, 1, 0 %, 118 MiB, 36.89 W
2024/01/08 11:02:00.385, Tesla T4, 2, 0 %, 118 MiB, 35.55 W
2024/01/08 11:02:00.389, Tesla T4, 3, 0 %, 118 MiB, 37.16 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:02:01.197, Tesla T4, 0, 25 %, 191 MiB, 45.25 W
2024/01/08 11:02:01.202, Tesla T4, 1, 31 %, 155 MiB, 50.22 W
2024/01/08 11:02:01.206, Tesla T4, 2, 36 %, 155 MiB, 55.90 W
2024/01/08 11:02:01.210, Tesla T4, 3, 27 %, 155 MiB, 47.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:02:02.020, Tesla T4, 0, 25 %, 191 MiB, 46.09 W
2024/01/08 11:02:02.025, Tesla T4, 1, 30 %, 155 MiB, 49.35 W
2024/01/08 11:02:02.039, Tesla T4, 2, 36 %, 155 MiB, 50.81 W
2024/01/08 11:02:02.044, Tesla T4, 3, 26 %, 155 MiB, 50.48 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:02:02.855, Tesla T4, 0, 25 %, 191 MiB, 47.16 W
2024/01/08 11:02:02.859, Tesla T4, 1, 29 %, 155 MiB, 48.71 W
2024/01/08 11:02:02.864, Tesla T4, 2, 37 %, 155 MiB, 54.83 W
2024/01/08 11:02:02.868, Tesla T4, 3, 26 %, 155 MiB, 47.52 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:02:03.678, Tesla T4, 0, 25 %, 191 MiB, 45.44 W
2024/01/08 11:02:03.682, Tesla T4, 1, 29 %, 155 MiB, 51.26 W
2024/01/08 11:02:03.689, Tesla T4, 2, 36 %, 155 MiB, 50.35 W
2024/01/08 11:02:03.693, Tesla T4, 3, 26 %, 155 MiB, 49.84 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:02:04.495, Tesla T4, 0, 25 %, 191 MiB, 46.77 W
2024/01/08 11:02:04.500, Tesla T4, 1, 30 %, 155 MiB, 48.61 W
2024/01/08 11:02:04.504, Tesla T4, 2, 36 %, 155 MiB, 54.25 W
2024/01/08 11:02:04.508, Tesla T4, 3, 26 %, 155 MiB, 48.39 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:02:05.319, Tesla T4, 0, 25 %, 191 MiB, 46.67 W
