timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:45:38.650, Tesla T4, 0, 0 %, 135 MiB, 38.62 W
2024/01/07 22:45:38.654, Tesla T4, 1, 1 %, 99 MiB, 37.08 W
2024/01/07 22:45:38.659, Tesla T4, 2, 0 %, 99 MiB, 36.04 W
2024/01/07 22:45:38.663, Tesla T4, 3, 0 %, 99 MiB, 36.60 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:45:39.470, Tesla T4, 0, 0 %, 154 MiB, 36.79 W
2024/01/07 22:45:39.476, Tesla T4, 1, 0 %, 118 MiB, 37.20 W
2024/01/07 22:45:39.480, Tesla T4, 2, 0 %, 118 MiB, 35.46 W
2024/01/07 22:45:39.484, Tesla T4, 3, 0 %, 118 MiB, 36.50 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:45:40.287, Tesla T4, 0, 100 %, 191 MiB, 68.15 W
2024/01/07 22:45:40.291, Tesla T4, 1, 75 %, 155 MiB, 73.88 W
2024/01/07 22:45:40.296, Tesla T4, 2, 38 %, 155 MiB, 71.91 W
2024/01/07 22:45:40.302, Tesla T4, 3, 100 %, 155 MiB, 69.45 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:45:41.111, Tesla T4, 0, 100 %, 191 MiB, 72.20 W
2024/01/07 22:45:41.116, Tesla T4, 1, 100 %, 155 MiB, 68.00 W
2024/01/07 22:45:41.121, Tesla T4, 2, 97 %, 155 MiB, 65.59 W
2024/01/07 22:45:41.126, Tesla T4, 3, 100 %, 155 MiB, 71.53 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:45:41.934, Tesla T4, 0, 100 %, 191 MiB, 67.91 W
2024/01/07 22:45:41.942, Tesla T4, 1, 100 %, 155 MiB, 71.96 W
2024/01/07 22:45:41.947, Tesla T4, 2, 94 %, 155 MiB, 73.98 W
2024/01/07 22:45:41.958, Tesla T4, 3, 100 %, 155 MiB, 71.53 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:45:42.765, Tesla T4, 0, 97 %, 191 MiB, 68.39 W
2024/01/07 22:45:42.769, Tesla T4, 1, 100 %, 155 MiB, 67.86 W
2024/01/07 22:45:42.774, Tesla T4, 2, 93 %, 155 MiB, 72.25 W
